noise,filter,seed,snr_in_db,snr_out_db,delta_snr_db,mse_in,mse_out,hurst_in,hurst_out,alpha_in,alpha_out
N3,F9,3,-21.451670191158794,1.3536028740648112,22.805273065223606,2.4134275995079415,0.012666444041203614,0.6299338379943014,1.3620207616527034,1.7148084752106318,1.8008255638436972
N3,F0,4,-20.24169861820619,-20.24169861820619,0.0,1.9054764259964516,1.9054764259964516,0.6185567546621655,0.6185567546621655,1.7145865191829417,1.7145865191829417
N3,F1,4,-20.24169861820619,-7.431349322805564,12.810349295400627,1.9054764259964516,0.0997886641960638,0.6185567546621655,1.0585995806061663,1.7145865191829417,2.0
N3,F2,4,-20.24169861820619,-3.579709699714795,16.661988918491396,1.9054764259964516,0.041109424937083326,0.6185567546621655,1.2353968957599848,1.7145865191829417,2.0
N3,F3,4,-20.24169861820619,-15.232031715304974,5.009666902901216,1.9054764259964516,0.6012763770235529,0.6185567546621655,0.9267892957282368,1.7145865191829417,1.3610448396955572
N3,F4,4,-20.24169861820619,-3.194064991962197,17.047633626243993,1.9054764259964516,0.037641830856524325,0.6185567546621655,1.050613945695278,1.7145865191829417,2.0
N3,F6,4,-20.24169861820619,-14.331604677853953,5.910093940352237,1.9054764259964516,0.4887227415693085,0.6185567546621655,0.9956368236067697,1.7145865191829417,1.3989332261966057
N3,F7,4,-20.24169861820619,-3.379351940196739,16.86234667800945,1.9054764259964516,0.03942447668433639,0.6185567546621655,0.9137862208902037,1.7145865191829417,1.7215953730382656
N3,F8,4,-20.24169861820619,-3.379351940196739,16.86234667800945,1.9054764259964516,0.03942447668433639,0.6185567546621655,0.9137862208902037,1.7145865191829417,1.7215953730382656
N3,F5,4,-20.24169861820619,-3.4935141510343297,16.74818446717186,1.9054764259964516,0.04050883643823198,0.6185567546621655,0.9971942941685971,1.7145865191829417,2.0
N3,F9,4,-20.24169861820619,0.8436258650812596,21.08532448328745,1.9054764259964516,0.0148793092750826,0.6185567546621655,1.3576285227317544,1.7145865191829417,1.7403121580120062
