domain,series,filter,optimizer,model,seed,t_conv,conv,slope,floor_p50,floor_p10,floor_p90,auc,final_grad,holdout,alpha_hat,hurst_hat
electricity_load,s0,F11,adam,classification,1,131,1,-0.7539029201756787,3.16602336333831e-05,1.1379402720478494e-05,0.00010323028735520784,-3.9162625614868087,1.1599231898328928e-05,0.9572985301571212,0.6140000000000002,0.16511006092403338
electricity_load,s0,F11,adam,classification,2,130,1,-1.1826787040199351,2.32102836576944e-05,1.3499479103728811e-05,6.611536324226411e-05,-3.9805979045244864,1.3323749034589566e-05,0.9572985301571212,0.6140000000000002,0.16511006092403338
electricity_load,s0,F11,adam,classification,3,128,1,-2.340918578848266,2.7550214050956504e-05,1.3933894793081391e-05,4.5479429383941864e-05,-3.9350423449856744,2.7267526885808625e-05,0.9569183983781044,0.6140000000000002,0.16511006092403338
electricity_load,s53,F0,sgd,regression,0,122,1,-1.6065933780371193,9.884594386322742e-05,3.2836076293354815e-05,0.00032168728097097356,-3.2676224177746143,7.23049249257305e-05,0.14970543713205742,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,sgd,regression,1,122,1,-1.102294326863185,8.236999750004044e-05,2.784810388984857e-05,0.00030776397173477204,-3.31641883643625,0.00033791913219845016,0.1496841703195182,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,sgd,regression,2,113,1,-1.4917421684816343,6.746924868002637e-05,2.0436512673427866e-05,0.00026151585253671514,-3.373686180475774,1.610445772093817e-05,0.1496232279577777,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,sgd,regression,3,117,1,0.6830842538706613,0.00010019558799868829,3.936843448600487e-05,0.0003257508479677348,-3.3100176655005544,1.681836928259618e-05,0.14960606927161285,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,sgd,classification,0,1775,1,-1.657933370177866,0.0009447635518418517,0.0008076160674512008,0.0010901519548331684,-2.4949124005471557,0.0007838799764654092,0.8651799290420679,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,sgd,classification,1,1769,1,-1.3230277731754816,0.0009087475474696624,0.0008134234338969132,0.0010132771066614214,-2.506523611285682,0.0007920747343012563,0.8642929548910289,1.6678235294117645,0.0912704752994491
electricity_load,s53,F0,sgd,classification,2,1756,1,-1.4727826584434902,0.0008983809596575092,0.0007943576077799842,0.0010275038119643089,-2.5076226568338806,0.0007637349705788914,0.8653066396350735,1.6678235294117645,0.0912704752994491
