ticker,day,filter,rv_est,rv_bench,rel_err
EURUSD=X,2026-05-10,F2 Kalman,5.301677293638097e-09,1.1084312851028072e-07,0.9521695447891804
EURUSD=X,2026-05-10,F3 Wavelet,2.1334225886753962e-08,1.1084312851028072e-07,0.8075277541018232
EURUSD=X,2026-05-10,F4 Median,6.929465665425738e-08,1.1084312851028072e-07,0.37484030281741565
EURUSD=X,2026-05-10,FA online,2.089854713288634e-08,1.1084312851028072e-07,0.8114583428511946
EURUSD=X,2026-05-11,F0 raw,1.1055230117041394e-05,6.740423507811836e-06,0.6401387990278206
EURUSD=X,2026-05-11,F1 MA,1.3226055577833636e-06,6.740423507811836e-06,0.8037800508750637
EURUSD=X,2026-05-11,F2 Kalman,2.9308290528545204e-07,6.740423507811836e-06,0.956518621575368
EURUSD=X,2026-05-11,F3 Wavelet,1.0230465932800273e-06,6.740423507811836e-06,0.8482222085757127
EURUSD=X,2026-05-11,F4 Median,3.751800301958218e-06,6.740423507811836e-06,0.44338804563095235
EURUSD=X,2026-05-11,FA online,1.4215015748718157e-06,6.740423507811836e-06,0.7891079732268511
EURUSD=X,2026-05-12,F0 raw,1.252820867661282e-05,8.512574170987029e-06,0.4717297523599939
EURUSD=X,2026-05-12,F1 MA,1.7308537628873064e-06,8.512574170987029e-06,0.7966709331254361
EURUSD=X,2026-05-12,F2 Kalman,3.453385737655336e-07,8.512574170987029e-06,0.9594319453987804
EURUSD=X,2026-05-12,F3 Wavelet,1.0427761171368196e-06,8.512574170987029e-06,0.8775016703301265
EURUSD=X,2026-05-12,F4 Median,4.82956667645373e-06,8.512574170987029e-06,0.43265496670629955
EURUSD=X,2026-05-12,FA online,1.7932945536899366e-06,8.512574170987029e-06,0.7893358086908739
EURUSD=X,2026-05-13,F0 raw,1.1425238378704608e-05,7.387637626156951e-06,0.546534759400214
EURUSD=X,2026-05-13,F1 MA,1.3144208891759304e-06,7.387637626156951e-06,0.8220783211507233
EURUSD=X,2026-05-13,F2 Kalman,2.91161796274209e-07,7.387637626156951e-06,0.9605879699292085
EURUSD=X,2026-05-13,F3 Wavelet,9.028360212836491e-07,7.387637626156951e-06,0.8777909709475958
EURUSD=X,2026-05-13,F4 Median,4.291097441832916e-06,7.387637626156951e-06,0.4191516071877033
EURUSD=X,2026-05-13,FA online,1.198591889311559e-06,7.387637626156951e-06,0.8377570814968266
EURUSD=X,2026-05-14,F0 raw,1.1683814557606285e-05,7.702869552067512e-06,0.5168132445486183
EURUSD=X,2026-05-14,F1 MA,1.4870858808954232e-06,7.702869552067512e-06,0.8069439095594865
EURUSD=X,2026-05-14,F2 Kalman,3.3988434049812596e-07,7.702869552067512e-06,0.9558756203515223
EURUSD=X,2026-05-14,F3 Wavelet,1.1782644406145565e-06,7.702869552067512e-06,0.8470356491629407
EURUSD=X,2026-05-14,F4 Median,4.146556873964175e-06,7.702869552067512e-06,0.4616867329849555
EURUSD=X,2026-05-14,FA online,1.5882998125368243e-06,7.702869552067512e-06,0.7938041398986807
EURUSD=X,2026-05-15,F0 raw,1.3069652660666857e-05,1.1500409987466186e-05,0.1364510199993673
EURUSD=X,2026-05-15,F1 MA,2.079078374476834e-06,1.1500409987466186e-05,0.8192170212416137
EURUSD=X,2026-05-15,F2 Kalman,4.936737738422026e-07,1.1500409987466186e-05,0.9570733761335259
EURUSD=X,2026-05-15,F3 Wavelet,1.4277067224818173e-06,1.1500409987466186e-05,0.8758560152170388
EURUSD=X,2026-05-15,F4 Median,5.567631393366123e-06,1.1500409987466186e-05,0.5158753992741084
EURUSD=X,2026-05-15,FA online,2.560227139293704e-06,1.1500409987466186e-05,0.7773794897674093
GBPUSD=X,2026-05-06,F0 raw,7.764401062752772e-08,7.928124434309063e-08,0.0206509588633317
GBPUSD=X,2026-05-06,F1 MA,1.6755501124579926e-08,7.928124434309063e-08,0.7886574401876153
GBPUSD=X,2026-05-06,F2 Kalman,5.075329978548247e-09,7.928124434309063e-08,0.9359832199834719
GBPUSD=X,2026-05-06,F3 Wavelet,1.4374376673399856e-08,7.928124434309063e-08,0.8186913337132481
GBPUSD=X,2026-05-06,F4 Median,3.537332803376473e-08,7.928124434309063e-08,0.5538247623777676
GBPUSD=X,2026-05-06,FA online,2.3149227430012588e-08,7.928124434309063e-08,0.7080113005059053
GBPUSD=X,2026-05-07,F0 raw,1.4221502662529417e-05,1.5212042415331348e-05,0.06511550032253545
GBPUSD=X,2026-05-07,F1 MA,2.705419755667602e-06,1.5212042415331348e-05,0.8221527601749938
GBPUSD=X,2026-05-07,F2 Kalman,6.253588080710953e-07,1.5212042415331348e-05,0.9588905427031394
GBPUSD=X,2026-05-07,F3 Wavelet,1.8738738493427056e-06,1.5212042415331348e-05,0.8768164196377644
GBPUSD=X,2026-05-07,F4 Median,5.310463804932892e-06,1.5212042415331348e-05,0.650903957539536
GBPUSD=X,2026-05-07,FA online,3.0340120106459925e-06,1.5212042415331348e-05,0.8005519622014605
GBPUSD=X,2026-05-08,F0 raw,1.0333578082408063e-05,1.0250126906819343e-05,0.008141477305339536
GBPUSD=X,2026-05-08,F1 MA,1.9081456643519316e-06,1.0250126906819343e-05,0.8138417522340671
GBPUSD=X,2026-05-08,F2 Kalman,4.7225585114741397e-07,1.0250126906819343e-05,0.9539268288636285
GBPUSD=X,2026-05-08,F3 Wavelet,1.2783062034211309e-06,1.0250126906819343e-05,0.875288743735389
GBPUSD=X,2026-05-08,F4 Median,3.81749727568611e-06,1.0250126906819343e-05,0.6275658525606786
GBPUSD=X,2026-05-08,FA online,1.8331988731853718e-06,1.0250126906819343e-05,0.8211535437706867
GBPUSD=X,2026-05-10,F0 raw,1.7183267094537948e-07,8.994482471568034e-08,0.9104231009238198
GBPUSD=X,2026-05-10,F1 MA,3.082478526049646e-08,8.994482471568034e-08,0.6572922860438608
GBPUSD=X,2026-05-10,F2 Kalman,6.417268880333568e-09,8.994482471568034e-08,0.9286532727078091
GBPUSD=X,2026-05-10,F3 Wavelet,2.185986527057888e-08,8.994482471568034e-08,0.7569636125293601
GBPUSD=X,2026-05-10,F4 Median,6.937908919186012e-08,8.994482471568034e-08,0.22864834734882689
GBPUSD=X,2026-05-10,FA online,6.455580500724299e-08,8.994482471568034e-08,0.28227326907015715
GBPUSD=X,2026-05-11,F0 raw,1.309835252278236e-05,1.2080409009572121e-05,0.08426399407533752
GBPUSD=X,2026-05-11,F1 MA,2.470178952271872e-06,1.2080409009572121e-05,0.7955219106973462
GBPUSD=X,2026-05-11,F2 Kalman,5.404618356425011e-07,1.2080409009572121e-05,0.9552612965989598
GBPUSD=X,2026-05-11,F3 Wavelet,1.983708901869423e-06,1.2080409009572121e-05,0.8357912467783503
GBPUSD=X,2026-05-11,F4 Median,4.461253677654448e-06,1.2080409009572121e-05,0.6307034245182016
GBPUSD=X,2026-05-11,FA online,2.7949891550119746e-06,1.2080409009572121e-05,0.7686345592440358
GBPUSD=X,2026-05-12,F0 raw,2.2275213837100058e-05,2.0850853959096164e-05,0.06831182458033183
