ticker,filter,optimizer,seed,holdout_mse,train_loss
AAPL,F4,sgd,0,0.00011449296992271804,2.5989041259592315e-05
AAPL,F4,sgd,1,0.00011396770376486107,2.580438359680845e-05
AAPL,F4,clipped_sgd,0,0.00011449296992271804,2.5989041259592315e-05
AAPL,F4,clipped_sgd,1,0.00011396770376486107,2.580438359680845e-05
AAPL,F4,normalized_sgd,0,0.00015109144238869974,1.7062582619592874e-05
AAPL,F4,normalized_sgd,1,0.00015105513897667938,1.7062597893837294e-05
AAPL,F4,adam,0,0.0001510776813074559,1.7062573635771574e-05
AAPL,F4,adam,1,0.0001510776813074559,1.7062573635771574e-05
AAPL,F4,adamw,0,0.0001510771830472142,1.7062573636038837e-05
AAPL,F4,adamw,1,0.0001510771934757801,1.7062573636027795e-05
AAPL,F6,sgd,0,0.00011466591999370784,1.25244071295905e-06
AAPL,F6,sgd,1,0.00011411003326031349,1.2296265239045948e-06
AAPL,F6,clipped_sgd,0,0.00011466591999370784,1.25244071295905e-06
AAPL,F6,clipped_sgd,1,0.00011411003326031349,1.2296265239045948e-06
AAPL,F6,normalized_sgd,0,0.00021342909567651712,1.2646830628628612e-10
AAPL,F6,normalized_sgd,1,0.00021268776940857492,1.2399202161196794e-10
AAPL,F6,adam,0,0.00017584387809925186,8.918496916317335e-10
AAPL,F6,adam,1,0.00017561140153983572,8.692840336595422e-10
AAPL,F6,adamw,0,0.00017580489467459385,8.932502168248241e-10
AAPL,F6,adamw,1,0.00017557332905057725,8.706738072098317e-10
AAPL,F7,sgd,0,0.00011458469247235485,1.0131679484214613e-05
AAPL,F7,sgd,1,0.00011403796743103018,1.0053965236881857e-05
AAPL,F7,clipped_sgd,0,0.00011458469247235485,1.0131679484214613e-05
AAPL,F7,clipped_sgd,1,0.00011403796743103018,1.0053965236881857e-05
AAPL,F7,normalized_sgd,0,0.0001642296345421263,5.333968493264281e-06
AAPL,F7,normalized_sgd,1,0.00016422703710797015,5.333967706246098e-06
AAPL,F7,adam,0,0.00016421693275706637,5.3339663487495416e-06
AAPL,F7,adam,1,0.00016421693275706637,5.3339663487495416e-06
AAPL,F7,adamw,0,0.00016421599755866566,5.3339663489833345e-06
AAPL,F7,adamw,1,0.00016421601290763383,5.333966348975779e-06
AAPL,F0,sgd,0,0.0001227242307651313,0.00021465974087167262
AAPL,F0,sgd,1,0.0001225288401109312,0.0002145754198008676
AAPL,F0,clipped_sgd,0,0.0001227242307651313,0.00021465974087167262
AAPL,F0,clipped_sgd,1,0.0001225288401109312,0.0002145754198008676
AAPL,F0,normalized_sgd,0,0.0001224636246543089,0.00021436762013950125
AAPL,F0,normalized_sgd,1,0.00012246014076908052,0.0002143676681482098
AAPL,F0,adam,0,0.00012248056843963925,0.00021436751476159227
AAPL,F0,adam,1,0.00012248056843963925,0.00021436751476159227
AAPL,F0,adamw,0,0.0001224805684353065,0.0002143675147615923
AAPL,F0,adamw,1,0.00012248056842243519,0.0002143675147615923
AAPL,F1,sgd,0,0.00012062367964340334,3.8284958074011444e-05
AAPL,F1,sgd,1,0.00012040263619793982,3.804930262156602e-05
AAPL,F1,clipped_sgd,0,0.00012062367964340334,3.8284958074011444e-05
AAPL,F1,clipped_sgd,1,0.00012040263619793982,3.804930262156602e-05
AAPL,F1,normalized_sgd,0,0.00018383173096076386,1.4118686774260133e-05
AAPL,F1,normalized_sgd,1,0.00018383107757583543,1.411868968269992e-05
AAPL,F1,adam,0,0.00018387795593855804,1.411858488570624e-05
AAPL,F1,adam,1,0.00018387795593855804,1.411858488570624e-05
AAPL,F1,adamw,0,0.00018387571275190764,1.411858488843487e-05
AAPL,F1,adamw,1,0.00018387573656496466,1.411858488837604e-05
AAPL,F2,sgd,0,0.00012280324772221822,1.0265761373067388e-06
AAPL,F2,sgd,1,0.00012252375756532919,1.0102748710986909e-06
AAPL,F2,clipped_sgd,0,0.00012280324772221822,1.0265761373067388e-06
AAPL,F2,clipped_sgd,1,0.00012252375756532919,1.0102748710986909e-06
AAPL,F2,normalized_sgd,0,0.0002325793496614143,6.770782840439908e-08
AAPL,F2,normalized_sgd,1,0.00023504564249839438,6.746680572559071e-08
AAPL,F2,adam,0,0.00025783411965968036,6.649296754136207e-08
AAPL,F2,adam,1,0.0002579104224758228,6.649261486387154e-08
AAPL,F2,adamw,0,0.0002578045498167411,6.649305052203961e-08
AAPL,F2,adamw,1,0.00025788109056293514,6.649269152569683e-08
AAPL,F3,sgd,0,0.00012299968382102372,2.0793428458371733e-05
AAPL,F3,sgd,1,0.00012270542694745279,2.0975317709173292e-05
AAPL,F3,clipped_sgd,0,0.00012299968382102372,2.0793428458371733e-05
AAPL,F3,clipped_sgd,1,0.00012270542694745279,2.0975317709173292e-05
AAPL,F3,normalized_sgd,0,0.00015078397926240498,1.7960082021799174e-05
AAPL,F3,normalized_sgd,1,0.00015077922003144679,1.7960077036949842e-05
AAPL,F3,adam,0,0.00015077062210294307,1.796007350225073e-05
AAPL,F3,adam,1,0.0001507706221029431,1.7960073502250728e-05
AAPL,F3,adamw,0,0.00015077055587011366,1.796007350225499e-05
AAPL,F3,adamw,1,0.00015077055286720812,1.7960073502255434e-05
AAPL,F4,sgd,0,0.00012172796094696056,2.5228366894930605e-05
AAPL,F4,sgd,1,0.00012148643324502075,2.5044577004995022e-05
AAPL,F4,clipped_sgd,0,0.00012172796094696056,2.5228366894930605e-05
AAPL,F4,clipped_sgd,1,0.00012148643324502075,2.5044577004995022e-05
AAPL,F4,normalized_sgd,0,0.00014844133084522085,1.5974290689105003e-05
AAPL,F4,normalized_sgd,1,0.00014848367706630472,1.597427859892021e-05
AAPL,F4,adam,0,0.00014846732794041248,1.5974270768625233e-05
AAPL,F4,adam,1,0.00014846732794041248,1.5974270768625233e-05
AAPL,F4,adamw,0,0.00014846675143510775,1.5974270768941675e-05
AAPL,F4,adamw,1,0.00014846676316116158,1.597427076892894e-05
AAPL,F6,sgd,0,0.0001227742259440465,2.658754110635543e-06
AAPL,F6,sgd,1,0.00012249646564555758,2.6474303739523486e-06
AAPL,F6,clipped_sgd,0,0.0001227742259440465,2.658754110635543e-06
AAPL,F6,clipped_sgd,1,0.00012249646564555758,2.6474303739523486e-06
AAPL,F6,normalized_sgd,0,0.00033345541219417465,5.787602126480005e-07
AAPL,F6,normalized_sgd,1,0.00033300618651198495,5.787961695366003e-07
AAPL,F6,adam,0,0.0003439099562336044,5.78357709483913e-07
