block,model,noise,optimizer,filter,seed,steps,conv100,t_drop100,t_eps,eps_hit,slope,floor_p10,floor_p50,floor_p90,auc,holdout,elapsed_s
A,quadratic,N1,sgd,F0,88,4000,1,265,258,1,0.29754778644212504,0.0009641905889679977,0.0015746161890680451,0.002649803701670382,-2.6406572840144262,0.019989316382718364,0.033529333013575524
A,quadratic,N1,sgd,F0,89,4000,1,261,246,1,-1.0452788742961172,0.0009350512177551065,0.0016334744338815435,0.0024966578113258656,-2.641291378721554,0.01546475113958595,0.0323899170034565
A,quadratic,N1,sgd,F0,90,4000,1,282,190,1,0.880482413916798,0.0011272397167953496,0.001706434177315177,0.002468154706914557,-2.682739187717265,0.01658056723320099,0.024046665988862514
A,quadratic,N1,sgd,F0,91,4000,1,227,183,1,-0.5737441361424789,0.0010013142701593841,0.001620264198341214,0.0026506900008524577,-2.687395209771299,0.01815558658001921,0.03389833297114819
A,quadratic,N1,sgd,F0,92,4000,1,341,302,1,-0.1465369903481879,0.0011604882825208078,0.0016965371626769645,0.0023164017248899355,-2.621109142548756,0.01572499173132343,0.029774958034977317
A,quadratic,N1,sgd,F0,93,4000,1,330,261,1,0.8373400340194657,0.001140905037966348,0.001829746282048498,0.002562820345048335,-2.662582122317944,0.016660780120349526,0.02698687498923391
A,quadratic,N1,sgd,F0,94,4000,1,302,174,1,1.0158779854751285,0.0012225972565186305,0.0017525579435550254,0.0023735549815875356,-2.672756945489903,0.014424972691963557,0.048424084030557424
A,quadratic,N1,sgd,F0,95,4000,1,369,207,1,0.09167058768306319,0.0010650762097199687,0.001657096171469051,0.0024972377666140503,-2.667530840203946,0.019233956617973818,0.03150504099903628
A,quadratic,N1,sgd,F0,96,4000,1,355,248,1,0.2403349451044107,0.00114758060671189,0.0018274150514435575,0.002865986850125072,-2.6242546933208097,0.02085316889492193,0.05068779201246798
A,quadratic,N1,sgd,F0,97,4000,1,297,232,1,-0.6314359384363377,0.0010217046328146477,0.0015546179999932162,0.0024780000665820655,-2.6575711357457004,0.015459150185179555,0.04406970803393051
A,quadratic,N1,sgd,F0,98,4000,1,341,298,1,-0.37034495688921865,0.0010397470599046292,0.0019110953234563164,0.0027066833811612173,-2.6278318757581474,0.013266724902146816,0.029065707989502698
A,quadratic,N1,sgd,F0,99,4000,1,258,221,1,0.516984974201399,0.0010967460146356594,0.0018626276844234666,0.0031973943895419834,-2.651461686152291,0.01662122610162283,0.02668808400630951
A,quadratic,N1,sgd,F1,0,4000,1,318,206,1,1.3160905702451229,0.0011057540181137646,0.0018587808477479504,0.003039693618263868,-2.679100880133069,0.019391931334180625,0.0371624999679625
A,quadratic,N1,sgd,F1,1,4000,1,333,227,1,-0.21526046643089428,0.0009732841898105003,0.0015093430445089514,0.0022244042027141217,-2.695740221998053,0.019354184598715334,0.03606129199033603
A,quadratic,N1,sgd,F1,2,4000,1,287,212,1,-1.1965914441650651,0.0010281612926103419,0.0015959321894492506,0.002116646169424287,-2.687172764900932,0.019212424403907653,0.028008957975544035
A,quadratic,N1,sgd,F1,3,4000,1,373,243,1,-0.6409076838337756,0.0009419991006431672,0.0015364858820241373,0.002383938609142494,-2.683653825448326,0.0158299907011919,0.03574012499302626
A,quadratic,N1,sgd,F1,4,4000,1,361,259,1,-0.08810578464474278,0.0008075694230037402,0.001487833575884396,0.0022562163200138988,-2.666497739764548,0.019119220585870837,0.03801600000588223
A,quadratic,N1,sgd,F1,5,4000,1,285,280,1,-0.8963549732403723,0.0009254092596684496,0.0013872647029306339,0.0021820255326095587,-2.703433997961193,0.018282831350037623,0.04135608399519697
A,quadratic,N1,sgd,F1,6,4000,1,261,239,1,0.5520573037728572,0.001162705596110219,0.0016779265700651081,0.0024484793751018926,-2.6722126337452465,0.0233280481274257,0.047392542008310556
A,quadratic,N1,sgd,F1,7,4000,1,441,290,1,-0.18470449523993282,0.0010982600868187822,0.0015057148178818757,0.0029897628690229413,-2.6507790236859656,0.016377917280170493,0.04448195901932195
