data,ticker,filter,optimizer,t_conv,final_grad,steps
daily,JPY=X,F4,sgd,4000,1.7603238109942693e-11,4000
daily,JPY=X,F4,adam,115,1.7588585439124187e-45,4000
daily,JPY=X,F4,adamw,115,1.651212771132779e-23,4000
daily,JPY=X,FA,sgd,4000,7.278685281490333e-12,4000
daily,JPY=X,FA,adam,98,3.815183248655837e-45,4000
daily,JPY=X,FA,adamw,98,5.0527625299676046e-24,4000
daily,MSFT,F0,sgd,4000,2.948801987305465e-09,4000
daily,MSFT,F0,adam,36,7.410380637834324e-24,4000
daily,MSFT,F0,adamw,36,1.3016627118477386e-14,4000
daily,MSFT,F1,sgd,4000,4.5260140686658895e-09,4000
daily,MSFT,F1,adam,145,1.5832489902635634e-42,4000
daily,MSFT,F1,adamw,145,3.1665138674130487e-21,4000
daily,MSFT,F2,sgd,4000,9.617423833696847e-11,4000
daily,MSFT,F2,adam,125,1.1272142778640255e-43,4000
daily,MSFT,F2,adamw,125,3.2727265320198986e-23,4000
daily,MSFT,F3,sgd,4000,3.4798506487782206e-10,4000
daily,MSFT,F3,adam,91,5.76973219614908e-42,4000
daily,MSFT,F3,adamw,91,3.501130337570493e-22,4000
daily,MSFT,F4,sgd,4000,7.447643734957373e-10,4000
daily,MSFT,F4,adam,109,3.357073644541224e-42,4000
daily,MSFT,F4,adamw,109,5.576393028873819e-22,4000
daily,MSFT,FA,sgd,4000,6.997922206344496e-10,4000
daily,MSFT,FA,adam,86,3.816811148796174e-43,4000
daily,MSFT,FA,adamw,86,1.7013274425397314e-22,4000
daily,QQQ,F0,sgd,4000,1.3989322338315517e-09,4000
daily,QQQ,F0,adam,50,1.024355654843006e-26,4000
daily,QQQ,F0,adamw,50,4.2987960772037174e-14,4000
daily,QQQ,F1,sgd,4000,3.0928231967549397e-09,4000
daily,QQQ,F1,adam,148,6.29393559137124e-42,4000
daily,QQQ,F1,adamw,148,2.2041368657791077e-21,4000
daily,QQQ,F2,sgd,4000,6.784390232447258e-11,4000
daily,QQQ,F2,adam,126,1.000295713871499e-43,4000
daily,QQQ,F2,adamw,126,2.5448921105390747e-23,4000
daily,QQQ,F3,sgd,4000,1.8473939642496793e-10,4000
daily,QQQ,F3,adam,87,1.731349907571799e-41,4000
daily,QQQ,F3,adamw,87,1.6910493106187276e-22,4000
daily,QQQ,F4,sgd,4000,5.872532838663057e-10,4000
daily,QQQ,F4,adam,114,3.352568225587086e-42,4000
daily,QQQ,F4,adamw,114,4.560822390837014e-22,4000
daily,QQQ,FA,sgd,4000,3.7543698988641283e-10,4000
daily,QQQ,FA,adam,80,1.37059277098175e-43,4000
daily,QQQ,FA,adamw,80,9.048897106049371e-23,4000
daily,SPY,F0,sgd,4000,7.54684873476827e-10,4000
daily,SPY,F0,adam,49,1.0408905397869272e-18,4000
daily,SPY,F0,adamw,49,2.5284695519682578e-21,4000
daily,SPY,F1,sgd,4000,1.5627254259686004e-09,4000
daily,SPY,F1,adam,150,1.5146802655046564e-41,4000
daily,SPY,F1,adamw,150,1.1339502007759886e-21,4000
daily,SPY,F2,sgd,4000,2.8708376304794885e-11,4000
daily,SPY,F2,adam,132,4.804708967997133e-44,4000
daily,SPY,F2,adamw,132,1.3231473607174643e-23,4000
daily,SPY,F3,sgd,4000,1.92683966862258e-10,4000
daily,SPY,F3,adam,76,3.993662489795508e-42,4000
daily,SPY,F3,adamw,76,1.3916047666608858e-22,4000
daily,SPY,F4,sgd,4000,2.9049039071701466e-10,4000
daily,SPY,F4,adam,113,7.171845132239773e-43,4000
daily,SPY,F4,adamw,113,2.478267456406595e-22,4000
daily,SPY,FA,sgd,4000,2.130446314874693e-10,4000
daily,SPY,FA,adam,88,2.802530541998994e-43,4000
daily,SPY,FA,adamw,88,5.977698737878362e-23,4000
5min,AAPL,F0,sgd,4000,2.1219296203883367e-15,4000
5min,AAPL,F0,adam,68,3.1481247887138754e-47,4000
5min,AAPL,F0,adamw,68,1.140332029590583e-27,4000
5min,AAPL,F1,sgd,4000,8.939269685324921e-14,4000
5min,AAPL,F1,adam,202,4.656113279917065e-45,4000
5min,AAPL,F1,adamw,202,1.3584269824562323e-24,4000
5min,AAPL,F2,sgd,4000,2.0474431889119788e-15,4000
5min,AAPL,F2,adam,256,1.6777021392217015e-21,4000
5min,AAPL,F2,adamw,256,1.7090308163188796e-21,4000
5min,AAPL,F3,sgd,4000,2.121929620388341e-15,4000
5min,AAPL,F3,adam,68,1.871395558539196e-46,4000
5min,AAPL,F3,adamw,68,1.1403320279315886e-27,4000
5min,AAPL,F4,sgd,4000,3.232520253811855e-14,4000
5min,AAPL,F4,adam,175,3.779590055733179e-45,4000
5min,AAPL,F4,adamw,175,8.302100890841838e-25,4000
5min,AAPL,FA,sgd,4000,3.8010430875514996e-14,4000
5min,AAPL,FA,adam,150,3.501111509129217e-45,4000
5min,AAPL,FA,adamw,150,6.94608945671564e-25,4000
5min,BTC-USD,F0,sgd,4000,1.0886809820594874e-14,4000
5min,BTC-USD,F0,adam,64,6.137645591259589e-46,4000
5min,BTC-USD,F0,adamw,64,9.102555345612264e-28,4000
5min,BTC-USD,F1,sgd,4000,3.5564433655011844e-13,4000
5min,BTC-USD,F1,adam,195,8.140814526677919e-45,4000
5min,BTC-USD,F1,adamw,195,2.2841050352079424e-24,4000
5min,BTC-USD,F2,sgd,4000,6.5853928325933816e-15,4000
5min,BTC-USD,F2,adam,219,3.028536352438599e-22,4000
5min,BTC-USD,F2,adamw,219,3.18447214903201e-22,4000
5min,BTC-USD,F3,sgd,4000,7.029122495295764e-16,4000
