model,optimizer,filter,seed,steps,conv,t_drop100,floor_p50,floor_p10,floor_p90,auc,final_grad
quadratic,adam,F4,3,4000,0,4000,92.33914160767743,76.40000580190397,96.29013171917849,1.5664765657758721,85.68284714106414
quadratic,adam,F4,4,4000,0,4000,166.20912030404872,102.17486365369909,215.9089717049418,1.818736016395144,229.66332721625687
quadratic,adam,F4,5,4000,0,4000,50.0688952043032,38.641882589237504,73.13610764529531,1.624976792405715,74.32346801328276
quadratic,adam,F4,6,4000,0,4000,48.69190677820914,35.092398255745344,60.589121251441966,1.4687187828632284,57.32521807410229
quadratic,adam,F4,7,4000,0,4000,50.9324629063435,44.989632618132454,57.82749389530755,1.6740991496901787,40.6472423520592
quadratic,adam,F5,0,4000,0,4000,94.21959674211274,82.6711958002401,105.90412535010879,1.9660912576790457,133.2812465561911
quadratic,adam,F5,1,4000,0,4000,67.92312636528713,49.55990988962362,85.35954692695356,1.8899409025328435,65.99842814437001
quadratic,adam,F5,2,4000,0,4000,87.1194728698874,29.63945096021938,116.86714154569178,1.612548509004547,109.69713016497596
quadratic,adam,F5,3,4000,0,4000,133.36732388867222,109.00795653214098,136.65200764628466,1.710672435641626,124.5630038872734
quadratic,adam,F5,4,4000,0,4000,280.5251082975601,173.4743740911136,358.70907934998536,1.966940177970428,373.8083641284508
quadratic,adam,F5,5,4000,0,4000,63.58165916941158,50.7571423799528,112.97075226937483,1.7594592581481119,114.72728413598533
quadratic,adam,F5,6,4000,0,4000,80.37978783202382,62.137811418912264,100.28242866913389,1.5987999580280177,88.83984255414714
quadratic,adam,F5,7,4000,0,4000,73.54142653108808,60.602222453772356,87.13288307467221,1.7800712216967576,56.413197223439205
quadratic,adam,F6,0,4000,0,4000,48.36196743858244,42.471606333314,59.08525848870071,1.8090466311810505,69.63921763781705
quadratic,adam,F6,1,4000,0,4000,45.5389995003834,39.63107437941137,53.97447054009532,1.7043701368797488,41.35904225555153
quadratic,adam,F6,2,4000,0,4000,44.172458364758654,29.086255868587255,60.841233150356565,1.465066984737138,54.13528408982604
quadratic,adam,F6,3,4000,0,4000,77.81604945654735,65.02557414905334,83.44059886178324,1.5145184232059408,72.66462928756489
quadratic,adam,F6,4,4000,0,4000,128.18747359327526,78.75349175219026,167.444994735307,1.7615606279830731,179.58979909678007
