domain,model,optimizer,filter,n_cells,t_conv_med,conv_frac,floor_p50_med,slope_mean,auc_mean,holdout_med,alpha_hat_med,hurst_hat_med,speedup_vs_F0,floor_ratio_vs_F0
financial_5m,classification,adam,F11,16,406.5,0.75,5.758574859083314e-05,0.09169773808365332,-3.963175334130369,0.5004851542790607,1.5426814014825174,0.05604978899490204,9.84009840098401,4.610426871272728
financial_5m,classification,adam,F2,16,3115.5,0.75,6.0907649763306194e-05,-1.5672590051670487,-3.7164000396315613,0.5606496583571315,1.5426814014825174,0.05604978899490204,1.2839030653185683,4.358974344557293
financial_5m,classification,adam,F4,16,713.5,1.0,1.0860406711433904e-05,-2.459666846093144,-4.365952661219247,0.5830480033034829,1.5426814014825174,0.05604978899490204,5.606166783461808,24.44612708896234
financial_5m,classification,adam,F7,16,3507.5,0.5,5.56365501047148e-05,-1.2250089539300952,-3.982098525449673,0.5751148609545927,1.5426814014825174,0.05604978899490204,1.1404133998574484,4.771950852557157
financial_5m,classification,adam,FA,16,622.5,1.0,1.3326070023534621e-05,-0.7485709147350927,-4.451450193248755,0.5681738293760923,1.5426814014825174,0.05604978899490204,6.42570281124498,19.922969205223538
financial_5m,classification,sgd,F0,16,1994.0,0.8125,1.5146354981246853e-05,0.48081918599983076,-4.710138200537869,0.5047545119347953,1.5426814014825174,0.05604978899490204,1.0,1.0
financial_5m,classification,sgd,F1,16,4000.0,0.0,0.0015210680799889623,-1.3191546639363099,-2.50691254760892,0.5729119859812802,1.5426814014825174,0.05604978899490204,0.4985,0.00995771009891731
financial_5m,classification,sgd,F10,16,4000.0,0.0,0.002511822015175958,-0.7570573869181081,-2.4909470269831435,0.555103836229181,1.5426814014825174,0.05604978899490204,0.4985,0.006030027163443673
financial_5m,classification,sgd,F11,16,4000.0,0.1875,0.00026305889532924075,-1.5921134467966318,-3.40106489343742,0.5735384068505399,1.5426814014825174,0.05604978899490204,0.4985,0.05757780957108442
financial_5m,classification,sgd,F2,16,4000.0,0.0,0.00242173908099242,-0.8216513770966017,-2.46618674971067,0.5597237763945143,1.5426814014825174,0.05604978899490204,0.4985,0.00625432983269194
financial_5m,classification,sgd,F4,16,4000.0,0.0,0.0008884572483924105,-1.3180611131345141,-2.7021641370597522,0.5816862239117444,1.5426814014825174,0.05604978899490204,0.4985,0.017047927751901313
financial_5m,classification,sgd,F7,16,4000.0,0.0,0.0011984269552623883,-1.0631951005796907,-2.7912864689378356,0.5677107709417883,1.5426814014825174,0.05604978899490204,0.4985,0.012638529961912155
financial_5m,classification,sgd,FA,16,4000.0,0.0,0.00065587124712091,-1.4404896653556938,-2.8413063068539746,0.5698908306707473,1.5426814014825174,0.05604978899490204,0.4985,0.023093488314566438
financial_5m,regression,adam,F0,16,3857.0,0.5,0.0023051936739587092,0.1408901278055532,-2.6774282263244418,0.7176539901255476,1.5426814014825174,0.05604978899490204,1.0,1.0
financial_5m,regression,adam,F1,16,82.0,1.0,7.618506254849258e-05,0.02765742156129536,-3.970068666560505,0.7553424299836737,1.5426814014825174,0.05604978899490204,47.03658536585366,30.25781691117507
financial_5m,regression,adam,F10,16,66.5,1.0,1.659501830977723e-05,-0.11256894433387729,-4.717522905415147,0.7272837094091755,1.5426814014825174,0.05604978899490204,58.0,138.90877556914572
financial_5m,regression,adam,F11,16,86.5,0.8125,0.0007372163205645331,-0.12412979173807129,-3.0095299615403412,0.7757515242546617,1.5426814014825174,0.05604978899490204,44.589595375722546,3.1268890957181696
financial_5m,regression,adam,F2,16,50.0,1.0,1.9437104689546803e-05,-0.26120428195175016,-4.615578808750988,0.728688367624782,1.5426814014825174,0.05604978899490204,77.14,118.59758491697754
financial_5m,regression,adam,F4,16,86.0,1.0,0.0001526189282509853,-0.02471546859184648,-3.7156878986096267,0.7682137818717851,1.5426814014825174,0.05604978899490204,44.848837209302324,15.104244934597926
financial_5m,regression,adam,F7,16,172.0,1.0,6.831894668103758e-05,0.37827421606610334,-3.9888952486775877,0.7388717194158312,1.5426814014825174,0.05604978899490204,22.424418604651162,33.74164541384144
financial_5m,regression,adam,FA,16,84.0,1.0,0.00023984173704622122,0.057470466402752274,-3.5451187665052717,0.7725258724247847,1.5426814014825174,0.05604978899490204,45.916666666666664,9.61131161885499
financial_5m,regression,sgd,F0,16,136.0,1.0,0.000117423086061906,0.13557633200379682,-3.8983853029095106,0.7178821244325391,1.5426814014825174,0.05604978899490204,1.0,1.0
financial_5m,regression,sgd,F1,16,511.0,1.0,5.433123489403197e-05,-2.298822734832301,-3.6465667497951753,0.754560862613638,1.5426814014825174,0.05604978899490204,0.26614481409001955,2.161244563848564
financial_5m,regression,sgd,F10,16,1654.0,1.0,7.934535646636093e-06,-0.5157593308685341,-4.306710899877044,0.726258546810437,1.5426814014825174,0.05604978899490204,0.08222490931076179,14.798986518094278
financial_5m,regression,sgd,F11,16,378.0,1.0,4.098420456072138e-05,0.45924345319877025,-3.9556249091966045,0.7784226885290796,1.5426814014825174,0.05604978899490204,0.35978835978835977,2.8650814946996057
financial_5m,regression,sgd,F2,16,1377.5,1.0,1.1623622518799432e-05,-0.2260015586293176,-4.2916941758621325,0.7270402028583645,1.5426814014825174,0.05604978899490204,0.09872958257713249,10.10210765808956
financial_5m,regression,sgd,F4,16,688.5,1.0,2.2771244655425177e-05,-2.1571544954063473,-3.8102802659188018,0.7704009446244298,1.5426814014825174,0.05604978899490204,0.19753086419753085,5.156638903088257
financial_5m,regression,sgd,F7,16,2335.0,1.0,4.924094696751674e-05,-1.745763493491132,-3.7101941136776344,0.7383949923357831,1.5426814014825174,0.05604978899490204,0.058244111349036405,2.38466344157369
financial_5m,regression,sgd,FA,16,619.0,1.0,1.4862583203225372e-05,-0.5597798385930899,-4.017655900294932,0.7725549318105052,1.5426814014825174,0.05604978899490204,0.2197092084006462,7.9005839332441
financial_daily,classification,adam,F0,40,3000.0,0.55,0.0002581232175742353,0.0732147920760974,-3.5757435048829214,0.5087719298245614,1.4756649688993362,0.0579863695869024,1.0,1.0
financial_daily,classification,adam,F1,40,805.0,1.0,4.562807381317403e-05,-1.7774102166598762,-3.8193221202919565,0.49122807017543857,1.4756649688993362,0.0579863695869024,3.7267080745341614,5.657114052877426
financial_daily,classification,adam,F10,40,3328.0,0.825,6.564274167595362e-05,-1.7443253075902838,-3.625600210545307,0.47607655502392343,1.4756649688993362,0.0579863695869024,0.9014423076923077,3.9322430932038825
financial_daily,classification,adam,F11,40,398.0,1.0,5.843850436317519e-05,-0.04206175841209224,-4.101316995362791,0.49760765550239233,1.4756649688993362,0.0579863695869024,7.5376884422110555,4.417005883143215
financial_daily,classification,adam,F2,40,2263.0,1.0,4.945649329816838e-05,-1.8930108704184003,-3.7180657338180167,0.4936204146730463,1.4756649688993362,0.0579863695869024,1.3256738842244808,5.219197730377598
financial_daily,classification,adam,F4,40,1789.0,1.0,1.2046796228642756e-05,-2.110580964877768,-4.330589742808598,0.5311004784688995,1.4756649688993362,0.0579863695869024,1.6769144773616547,21.42671069346348
financial_daily,classification,adam,F7,40,3752.0,0.575,5.9785482187199516e-05,-1.4666365648531516,-3.786400056148863,0.5390749601275917,1.4756649688993362,0.0579863695869024,0.7995735607675906,4.317489934529645
financial_daily,classification,adam,FA,40,686.5,1.0,1.336405635667309e-05,-0.47253578073748387,-4.475087149591542,0.5103668261562998,1.4756649688993362,0.0579863695869024,4.369992716678806,19.31473578718832
financial_daily,classification,sgd,F0,40,1230.5,1.0,1.3572964818213102e-05,0.37854479743958,-4.629182738984596,0.5055821371610846,1.4756649688993362,0.0579863695869024,1.0,1.0
financial_daily,classification,sgd,F1,40,4000.0,0.0,0.0018427788115888584,-1.5023589337697527,-2.310508221481617,0.4880382775119617,1.4756649688993362,0.0579863695869024,0.307625,0.007365487780115284
financial_daily,classification,sgd,F10,40,4000.0,0.0,0.0031401110079148807,-0.7974803945395382,-2.3301459430346037,0.47607655502392343,1.4756649688993362,0.0579863695869024,0.307625,0.004322447449788064
financial_daily,classification,sgd,F11,40,4000.0,0.0,0.00023127340657551354,-2.303428881231592,-3.0729740580794624,0.4936204146730463,1.4756649688993362,0.0579863695869024,0.307625,0.05868796166056976
financial_daily,classification,sgd,F2,40,4000.0,0.0,0.003273040855807477,-0.9291974519267147,-2.27589532525675,0.4960127591706539,1.4756649688993362,0.0579863695869024,0.307625,0.0041468974620741715
financial_daily,classification,sgd,F4,40,4000.0,0.0,0.0009676321518984677,-1.1618405102303082,-2.8164206899749122,0.5247208931419458,1.4756649688993362,0.0579863695869024,0.307625,0.014026988242983988
financial_daily,classification,sgd,F7,40,4000.0,0.0,0.001330186757873126,-0.8489148715926369,-2.6636639916574394,0.5263157894736843,1.4756649688993362,0.0579863695869024,0.307625,0.010203803892857351
financial_daily,classification,sgd,FA,40,4000.0,0.0,0.0005646273472607519,-1.548458465199162,-2.821387402821481,0.5087719298245614,1.4756649688993362,0.0579863695869024,0.307625,0.024038801669917946
financial_daily,regression,adam,F0,40,817.0,0.7,0.002199670091393396,0.14687613690789023,-2.701720556723152,0.8571326617686497,1.4756649688993362,0.0579863695869024,1.0,1.0
financial_daily,regression,adam,F1,40,84.5,1.0,6.688711367337968e-05,0.17931885475883957,-4.028853667807871,0.9130086993704671,1.4756649688993362,0.0579863695869024,9.668639053254438,32.88630605492609
financial_daily,regression,adam,F10,40,91.5,1.0,1.5887001569097024e-05,-0.06580217890558364,-4.764451396593521,0.8684976023139037,1.4756649688993362,0.0579863695869024,8.92896174863388,138.45722125892755
financial_daily,regression,adam,F11,40,80.5,1.0,0.000600651705729897,-0.1282464393760374,-3.1950951801383627,0.9495104387667074,1.4756649688993362,0.0579863695869024,10.149068322981366,3.6621390906072784
financial_daily,regression,adam,F2,40,55.5,1.0,1.9020278082095983e-05,-0.3462016633306092,-4.622985104448608,0.8765192966243729,1.4756649688993362,0.0579863695869024,14.72072072072072,115.64868199608352
financial_daily,regression,adam,F4,40,145.0,1.0,7.021156941489372e-05,0.15356058982882273,-4.008382715683743,0.8830291310084829,1.4756649688993362,0.0579863695869024,5.63448275862069,31.329168536243944
financial_daily,regression,adam,F7,40,250.0,1.0,5.293833483932758e-05,0.22417460618002077,-4.3029095861084015,0.848815629597828,1.4756649688993362,0.0579863695869024,3.268,41.5515542389005
financial_daily,regression,adam,FA,40,109.5,1.0,0.00016908715670525636,0.11689967416909605,-3.705955234680219,0.8802440211574233,1.4756649688993362,0.0579863695869024,7.461187214611872,13.009090307359905
financial_daily,regression,sgd,F0,40,111.0,1.0,0.0001127500100714568,0.13247369340636425,-3.9141990644933222,0.8565537208366846,1.4756649688993362,0.0579863695869024,1.0,1.0
financial_daily,regression,sgd,F1,40,589.5,1.0,5.3674898678792334e-05,-2.172166616972819,-3.6866123212518707,0.9102692729874235,1.4756649688993362,0.0579863695869024,0.18829516539440203,2.100609648956931
financial_daily,regression,sgd,F10,40,2045.5,1.0,7.277929938177795e-06,-1.3542356260475585,-4.2961048778402695,0.8678248330788154,1.4756649688993362,0.0579863695869024,0.0542654607675385,15.492043895614428
financial_daily,regression,sgd,F11,40,455.0,1.0,3.458434548072124e-05,0.6083373624280008,-4.023647606774665,0.9484946741546407,1.4756649688993362,0.0579863695869024,0.24395604395604395,3.260145840675469
financial_daily,regression,sgd,F2,40,1489.5,1.0,1.0346297112577263e-05,-0.40898934548679833,-4.31118683255932,0.8724424024995117,1.4756649688993362,0.0579863695869024,0.07452165156092648,10.897619587436221
financial_daily,regression,sgd,F4,40,2609.0,1.0,2.546155668218727e-05,-2.289542110182901,-3.908746113380026,0.8813443842415809,1.4756649688993362,0.0579863695869024,0.04254503641241855,4.4282449607779055
financial_daily,regression,sgd,F7,40,3290.0,0.7,4.2783285517502836e-05,-2.1226811275420348,-3.784338596840489,0.8502289372543874,1.4756649688993362,0.0579863695869024,0.033738601823708206,2.635375210380471
financial_daily,regression,sgd,FA,40,1155.0,1.0,1.2145490038284665e-05,-1.4108407303185224,-4.0955741064414495,0.8802100103693182,1.4756649688993362,0.0579863695869024,0.09610389610389611,9.283282083806373
macro_fred,classification,adam,F0,24,150.0,1.0,1.8668987068014284e-05,-1.9236410494336846,-4.151733674524221,0.9963235294117647,1.9978406173916812,0.5105418743251077,1.0,1.0
macro_fred,classification,adam,F1,24,156.5,1.0,1.786350949203806e-05,-1.8908381528332525,-4.070005589943563,0.9840686274509804,1.9978406173916812,0.5105418743251077,0.9584664536741214,1.0450906680087266
macro_fred,classification,adam,F10,24,159.0,1.0,1.9835799461920054e-05,-2.054552244309224,-4.022292141302146,0.9571078431372548,1.9978406173916812,0.5105418743251077,0.9433962264150944,0.9411764372721266
macro_fred,classification,adam,F11,24,150.0,1.0,1.8668987068014284e-05,-1.9236410494336846,-4.151733674524221,0.9963235294117647,1.9978406173916812,0.5105418743251077,1.0,1.0
macro_fred,classification,adam,F2,24,159.5,1.0,1.978081811078117e-05,-2.0521927576459156,-4.02176028618723,0.9583333333333333,1.9978406173916812,0.5105418743251077,0.9404388714733543,0.9437924641670455
macro_fred,classification,adam,F4,24,154.5,1.0,2.050010713133246e-05,-1.7749658572144311,-4.078055087397261,0.9889705882352942,1.9978406173916812,0.5105418743251077,0.970873786407767,0.9106775368739666
macro_fred,classification,adam,F7,24,153.0,1.0,2.174618752374842e-05,-1.6677207771540556,-4.076416337651828,0.9926470588235294,1.9978406173916812,0.5105418743251077,0.9803921568627451,0.8584947153438455
macro_fred,classification,adam,FA,24,152.5,1.0,2.206613196632918e-05,-1.701429970335669,-4.0831923530621745,0.991421568627451,1.9978406173916812,0.5105418743251077,0.9836065573770492,0.8460471049707028
macro_fred,classification,sgd,F0,24,798.0,1.0,0.0006885934904026344,-1.5359012045614453,-2.5669583639582108,0.9926470588235294,1.9978406173916812,0.5105418743251077,1.0,1.0
