task,filter,noise,optimizer,clip,seed,t_eps,final_grad_norm_sq,final_loss,final_alpha_hat,elapsed_s
quadratic,F2,N3,adam,False,3,-1,30.534370897418523,1.8934830204510398,,2.9616542250005296
quadratic,F2,N3,adam,False,4,-1,27.146464701936484,1.7279837514698861,,2.9587648079977953
quadratic,F2,N3,adam,False,5,-1,35.799929572865175,2.160581294109118,,2.941268039998249
quadratic,F2,N3,adam,True,0,-1,49.5496311827006,2.8965812373394915,2.0,2.939818497005035
quadratic,F2,N3,adam,True,1,-1,74.66321628523043,4.373034920487376,2.0,1.7208373680041404
quadratic,F2,N3,adam,True,2,-1,104.83803774273892,5.747918585850718,2.0,1.6957276409957558
quadratic,F2,N3,adam,True,3,-1,30.534370897418523,1.8934830204510398,2.0,1.7459300850023283
quadratic,F2,N3,adam,True,4,-1,27.146464701936484,1.7279837514698861,1.6866974321051869,2.9587373239992303
quadratic,F2,N3,adam,True,5,-1,35.799929572865175,2.160581294109118,2.0,1.7307346279994817
quadratic,F2,N4,sgd,False,0,-1,3.6078433049922354,0.1638652926683355,,6.727232293997076
quadratic,F2,N4,sgd,False,1,-1,2.3317005666227666,0.16128008014222733,,6.727084439000464
quadratic,F2,N4,sgd,False,2,-1,14.943252163242713,1.4515104047104446,,6.62045772899728
quadratic,F2,N4,sgd,False,3,-1,3.390097022305542,0.34296382182663987,,3.9485104640043573
quadratic,F2,N4,sgd,False,4,-1,3.909134814389031,0.3242573973767372,,3.920944578007038
quadratic,F2,N4,sgd,False,5,-1,3.4947832729937467,0.22009173924385078,,6.749265613005264
quadratic,F2,N4,sgd,True,0,-1,3.6078433049922354,0.1638652926683355,2.0,4.03253592299734
quadratic,F2,N4,sgd,True,1,-1,2.3317005666227666,0.16128008014222733,1.2096698668839392,6.626689778000582
quadratic,F2,N4,sgd,True,2,-1,14.943252163242713,1.4515104047104446,1.8860142712682078,6.701244746000157
quadratic,F2,N4,sgd,True,3,-1,3.390097022305542,0.34296382182663987,2.0,4.041300047996629
quadratic,F2,N4,sgd,True,4,-1,3.909134814389031,0.3242573973767372,1.6074407552837693,6.702635575995373
quadratic,F2,N4,sgd,True,5,-1,3.4947832729937467,0.22009173924385078,1.7623398336508485,6.725594324001577
quadratic,F2,N4,adam,False,0,-1,47.325227534362384,2.6297929600805094,,3.9745675759986625
quadratic,F2,N4,adam,False,1,-1,125.95015248069063,6.803137682221425,,4.026430527002958
quadratic,F2,N4,adam,False,2,-1,37.01216185007216,3.871027813988837,,3.980666105999262
quadratic,F2,N4,adam,False,3,-1,22.276795737586653,1.7954013094454968,,4.070966221996059
quadratic,F2,N4,adam,False,4,-1,30.68448742882305,2.091213530391365,,6.690429665002739
