block,model,noise,optimizer,filter,n_seeds,conv100_frac,t_drop100_med,t_eps_med,eps_hit_frac,slope_mean,slope_lo,slope_hi,floor_p50_med,floor_p10_med,floor_p90_med,auc_mean,auc_lo,auc_hi,holdout_mean,holdout_lo,holdout_hi,wall_med,floor_ratio_vs_F0,speedup_vs_F0
A,logistic,N3,clipped_sgd,F4,8,1.0,1123.5,1965.5,1.0,-0.280798263642812,-1.333332306845703,0.6237189151852671,0.0004950596273440885,0.00033960748066312423,0.0006296300935359513,-2.8439803440984313,-2.8635452274524904,-2.821454927017547,0.8725,0.8675,0.8778333333333334,0.9726935834987671,4.1176563909326855,1.5263291783261257
A,logistic,N3,normalized_sgd,F0,8,1.0,1335.5,3000.0,0.25,0.33181273949435525,-0.7320496333066415,1.249805653566831,0.0014006513233290518,0.0009951019859197243,0.0019527274548147605,-2.604751222246667,-2.6216651951418077,-2.5889135075988454,0.8710833333333333,0.8674166666666667,0.8754166666666666,0.540924166503828,1.0,1.0
A,logistic,N3,normalized_sgd,F1,8,0.0,3000.0,3000.0,0.0,0.05815866910838946,-0.9572701680292283,0.8523407845668197,0.008407614272512264,0.005317224487272582,0.014321830212659883,-1.9622541381763194,-2.001093577858931,-1.9235624095082813,0.8473333333333333,0.83608125,0.8573333333333333,0.538886916499905,0.16659319492193186,1.0
A,logistic,N3,normalized_sgd,F2,8,0.0,3000.0,3000.0,0.0,0.09923168426175051,-1.5553883873986354,1.5741285896302746,0.028364038960475166,0.015657518048529634,0.04352919997632234,-1.5318538210388724,-1.6360029771315918,-1.419904078864185,0.81175,0.7919166666666667,0.8313333333333333,0.5965583335018891,0.04938123675830643,1.0
A,logistic,N3,normalized_sgd,F3,8,0.25,3000.0,3000.0,0.0,0.00327492539494173,-1.2669485742736106,1.0270435500767685,0.004535131929297217,0.0028975992921499,0.007133727851430796,-2.2249194383820834,-2.261254915766046,-2.1876042644599556,0.8575833333333334,0.8534166666666667,0.8614166666666667,0.5286292914970545,0.3088446698277425,1.0
A,logistic,N3,normalized_sgd,F4,8,1.0,423.0,1105.5,0.875,0.4582160075898709,-0.6896518674322598,1.5990532678459994,0.0012202397032076199,0.0007122235311686537,0.001921415722778564,-2.8121004919666728,-2.829521121223364,-2.7955995564943215,0.8733333333333333,0.8675833333333334,0.8791666666666667,0.8477005415006715,1.1478493280026765,2.7137042062415198
A,logistic,N3,sgd,F0,8,0.0,3000.0,3000.0,0.0,1.4906357810855002,0.3509680556985507,2.482351830673599,0.06577069148231761,0.04861238716870754,0.07704685480077958,-1.1939751127213372,-1.4283481663256385,-0.9454698788827987,0.68975,0.6061666666666667,0.7654229166666666,0.5319658750013332,1.0,1.0
A,logistic,N3,sgd,F1,8,0.0,3000.0,3000.0,0.0,1.4995328221509765,0.34700968523499487,2.541275258971104,0.06598211824816208,0.049240912808805874,0.07692765370927679,-1.196761733378743,-1.4317906414528718,-0.9474477285284827,0.6895833333333334,0.6064041666666667,0.7649208333333334,0.5237598330022593,0.9967956959937345,1.0
A,logistic,N3,sgd,F2,8,0.0,3000.0,3000.0,0.0,1.556128639148821,0.2932047425313063,2.7441254090100387,0.0663151308383634,0.051172792897675165,0.07572223851372342,-1.206624673415727,-1.4466979886015892,-0.9551501569497719,0.6950833333333333,0.6163125,0.7674166666666666,0.5529139379978005,0.9917901186476912,1.0
A,logistic,N3,sgd,F3,8,0.0,3000.0,3000.0,0.0,1.5403951307965653,0.3956246988415056,2.55891204691548,0.0659710353187523,0.0485205442073392,0.07680922818464349,-1.2055727040778519,-1.4477493167730153,-0.9508306017799868,0.69025,0.6074916666666667,0.7660895833333333,0.5363883334975981,0.9969631545803899,1.0
A,logistic,N3,sgd,F4,8,1.0,1118.0,1965.5,1.0,-0.28126142931430564,-1.3335296447360818,0.6231475566631021,0.0004953074905517637,0.0003398531386921067,0.0006297596488136815,-2.8435495844875973,-2.8632451588655616,-2.821254259080141,0.8725,0.8675,0.8778333333333334,0.8529529584993725,132.78759707237668,1.5263291783261257
A,logistic,N4,clipped_sgd,F0,8,0.0,3000.0,3000.0,0.0,-0.0283384872991684,-0.20965571694391905,0.1456957245075038,0.3289498566388863,0.31993110378499506,0.3402062925571805,-0.5424863603044369,-0.6143197760449088,-0.49367207548346587,0.499,0.45083125,0.5551854166666665,0.579533458003425,1.0,1.0
A,logistic,N4,clipped_sgd,F1,8,0.0,3000.0,3000.0,0.0,-0.027785453714792567,-0.21238901185241588,0.14782187605032196,0.32910085793448396,0.3185380231360088,0.33929415127147217,-0.5420541460148667,-0.6147550605423033,-0.4930983912614955,0.5005,0.45224375,0.5573333333333332,0.5706175210034417,0.9995411701551149,1.0
