regime,gamma,day,filter,rv_est,iv_true,rel_err
gauss,0.5,18,F2 Kalman,1.7217348087923128e-05,0.0003638533889198163,0.9526805339396816
gauss,0.5,18,F3 Wavelet,2.2633605578933562e-05,0.0003638533889198163,0.9377947099898487
gauss,0.5,18,F4 Median,0.0001449649438587916,0.0003638533889198163,0.6015841867265442
gauss,0.5,18,FA online,7.905912050426344e-05,0.0003638533889198163,0.7827170972930364
gauss,0.5,19,F0 raw,0.0006440711601550927,0.0004010144181886262,0.6061047457204876
gauss,0.5,19,F1 MA,7.551482499176378e-05,0.0004010144181886262,0.8116904989779105
gauss,0.5,19,F2 Kalman,1.4638421816897557e-05,0.0004010144181886262,0.9634965199430509
gauss,0.5,19,F3 Wavelet,1.8826408105670774e-05,0.0004010144181886262,0.9530530393627509
gauss,0.5,19,F4 Median,0.00012094305987861588,0.0004010144181886262,0.6984072033496621
gauss,0.5,19,FA online,7.209511101333449e-05,0.0004010144181886262,0.8202181573944732
gauss,0.5,20,F0 raw,0.0004941046407399966,0.00035349601865909116,0.39776578704980364
gauss,0.5,20,F1 MA,8.38375823864966e-05,0.00035349601865909116,0.7628330222656653
gauss,0.5,20,F2 Kalman,1.547362813362922e-05,0.00035349601865909116,0.9562268673001608
gauss,0.5,20,F3 Wavelet,2.941824113783864e-05,0.00035349601865909116,0.9167791443608609
gauss,0.5,20,F4 Median,0.00015943056089078841,0.00035349601865909116,0.5489890904696666
gauss,0.5,20,FA online,8.489083053417611e-05,0.00035349601865909116,0.7598535031421552
gauss,0.5,21,F0 raw,0.0005847076983925732,0.00039183081297118833,0.4922453238397239
gauss,0.5,21,F1 MA,0.00010173623600855821,0.00039183081297118833,0.7403567237678191
gauss,0.5,21,F2 Kalman,2.6097930258500688e-05,0.00039183081297118833,0.933394900567915
gauss,0.5,21,F3 Wavelet,4.737244583689741e-05,0.00039183081297118833,0.8790997433875096
gauss,0.5,21,F4 Median,0.00016565623312476488,0.00039183081297118833,0.5772250990966713
gauss,0.5,21,FA online,0.00010948800118830253,0.00039183081297118833,0.7205732740667506
gauss,0.5,22,F0 raw,0.0005954277922377855,0.00038785548447197696,0.5351795090596583
gauss,0.5,22,F1 MA,0.0001009199574262476,0.00038785548447197696,0.7398001021858975
gauss,0.5,22,F2 Kalman,2.3565017896070905e-05,0.00038785548447197696,0.9392427879983387
gauss,0.5,22,F3 Wavelet,4.431240378857439e-05,0.00038785548447197696,0.8857502199591147
gauss,0.5,22,F4 Median,0.0001823193642717572,0.00038785548447197696,0.5299296475851949
gauss,0.5,22,FA online,0.00011760584748959706,0.00038785548447197696,0.696779207209859
gauss,0.5,23,F0 raw,0.0006234541733152001,0.00040419147706487353,0.5424723397003607
gauss,0.5,23,F1 MA,0.00010355980446417879,0.00040419147706487353,0.7437852841029667
gauss,0.5,23,F2 Kalman,2.3853995017211756e-05,0.00040419147706487353,0.9409834289668034
gauss,0.5,23,F3 Wavelet,3.7255598954974426e-05,0.00040419147706487353,0.9078268566534003
gauss,0.5,23,F4 Median,0.00017709028838091724,0.00040419147706487353,0.5618653573130789
gauss,0.5,23,FA online,0.00010336837360497759,0.00040419147706487353,0.7442588983923906
gauss,0.5,24,F0 raw,0.0005300350524117518,0.0003618723990892167,0.4647015183964775
gauss,0.5,24,F1 MA,8.389656851016711e-05,0.0003618723990892167,0.7681598024018321
gauss,0.5,24,F2 Kalman,2.8917404090197336e-05,0.0003618723990892167,0.9200895007108072
gauss,0.5,24,F3 Wavelet,4.097678714944393e-05,0.0003618723990892167,0.8867645411681663
gauss,0.5,24,F4 Median,0.00014715441011222224,0.0003618723990892167,0.5933527661059818
gauss,0.5,24,FA online,9.45654455782106e-05,0.0003618723990892167,0.7386773740793193
gauss,0.5,25,F0 raw,0.0005626732008866103,0.0004186825251900546,0.34391374617603937
gauss,0.5,25,F1 MA,9.209289042987972e-05,0.0004186825251900546,0.7800412367626866
