mode,task,filter,noise,optimizer,seed,steps,lr,t_eps,final_grad_norm_sq,final_loss,holdout_metric,elapsed_s
buffer,quadratic,F1,N4,sgd,4,2000,0.01,-1,1.446641701508584,0.13097819731527516,0.4484855293164159,8.925795256000129
buffer,quadratic,F1,N4,adam,0,2000,0.01,-1,7.741404184859943,0.5657443167797773,0.6369569720089275,8.929545195001992
buffer,quadratic,F1,N4,adam,1,2000,0.01,-1,3.9961295099760616,0.30452719634085434,0.48230486218574137,8.885762181002065
buffer,quadratic,F1,N4,adam,2,2000,0.01,-1,5.894145530984302,0.9072282854769202,1.0338737557327304,8.881640560997766
buffer,quadratic,F1,N4,adam,3,2000,0.01,-1,4.629490344110588,0.534774560922834,0.6791519077811884,8.985357636003755
buffer,quadratic,F1,N4,adam,4,2000,0.01,-1,4.013584340279133,0.3331805904788268,0.5917748496230777,8.954574023002351
buffer,quadratic,F1,N4,adamw,0,2000,0.01,-1,7.741269566168563,0.5657291668194966,0.6369472857587161,8.946475113996712
buffer,quadratic,F1,N4,adamw,1,2000,0.01,-1,3.996055725546499,0.3045185702938571,0.4822976827436543,8.978069029006292
buffer,quadratic,F1,N4,adamw,2,2000,0.01,-1,5.893569077348492,0.9070997013263269,1.0337962370508769,4.675510381995991
buffer,quadratic,F1,N4,adamw,3,2000,0.01,-1,4.629288762740302,0.534732347356982,0.6791174794036087,4.900716684001964
buffer,quadratic,F1,N4,adamw,4,2000,0.01,-1,4.013397019303535,0.33315015314310614,0.5917406959190351,4.6854042439954355
buffer,quadratic,F2,N1,sgd,0,2000,0.01,-1,0.3107729210597102,-0.1387525026116201,0.16545381581019253,1.042239657996106
buffer,quadratic,F2,N1,sgd,1,2000,0.01,-1,0.5036358039239054,-0.012699592212358946,0.17463990175959135,0.9241629380048835
buffer,quadratic,F2,N1,sgd,2,2000,0.01,-1,0.27663214345756504,-0.0762607112591468,0.19935280926642646,0.9085016020035255
buffer,quadratic,F2,N1,sgd,3,2000,0.01,-1,0.41548946573756984,-0.009645196607384263,0.16424770609173026,0.9127843210007995
buffer,quadratic,F2,N1,sgd,4,2000,0.01,-1,0.4541391573627861,-0.015828989690684164,0.18255938872968844,0.9148025560061797
buffer,quadratic,F2,N1,adam,0,2000,0.01,-1,58.42420746718441,3.123765143956651,0.8906639831379515,0.9283700980013236
buffer,quadratic,F2,N1,adam,1,2000,0.01,-1,50.10339387061073,2.6527355812894235,0.789332817600101,0.9540075789991533
buffer,quadratic,F2,N1,adam,2,2000,0.01,-1,87.72173389022757,4.6866765116140146,1.0544388335485149,0.942745031999948
buffer,quadratic,F2,N1,adam,3,2000,0.01,-1,60.51572297504406,3.3447374829159675,0.8963070677687301,0.9572719060015515
buffer,quadratic,F2,N1,adam,4,2000,0.01,-1,43.123352325903,2.497867137201812,0.8043659746335465,0.9483256849998725
buffer,quadratic,F2,N1,adamw,0,2000,0.01,-1,58.43091176186788,3.1240660548229906,0.8906994564238129,1.7666667320008855
buffer,quadratic,F2,N1,adamw,1,2000,0.01,-1,50.0519746352019,2.650162914775884,0.7889924454438026,0.9704735970008187
buffer,quadratic,F2,N1,adamw,2,2000,0.01,-1,87.79022849660697,4.690632966084741,1.0548752087894087,1.7637665450019995
buffer,quadratic,F2,N1,adamw,3,2000,0.01,-1,60.55466610401153,3.346648499566012,0.8965041099199954,0.962503378999827
buffer,quadratic,F2,N1,adamw,4,2000,0.01,-1,43.13940911068257,2.4985516977304245,0.8044269174076677,1.774547341003199
buffer,quadratic,F2,N2,sgd,0,2000,0.01,-1,0.38411945456280017,-0.13020251851180276,0.17796999123971544,4.941248506002012
buffer,quadratic,F2,N2,sgd,1,2000,0.01,-1,0.42334998147903496,-0.010163403211532612,0.1950241334917224,5.0824952499970095
buffer,quadratic,F2,N2,sgd,2,2000,0.01,-1,0.45374252760237066,-0.06791324943720756,0.1855084431847768,5.508142136997776
buffer,quadratic,F2,N2,sgd,3,2000,0.01,-1,0.5581856587978905,0.013729395889797158,0.2122597000861076,5.082778300995415
buffer,quadratic,F2,N2,sgd,4,2000,0.01,-1,0.4836564644807408,-0.010882777567581686,0.1979353072675814,5.508965760003775
buffer,quadratic,F2,N2,adam,0,2000,0.01,-1,92.24355356187279,4.82812751729195,1.0692813448059566,2.714268114999868
buffer,quadratic,F2,N2,adam,1,2000,0.01,-1,54.169757540455805,2.9378932313137316,0.8454378980542053,2.827433603000827
buffer,quadratic,F2,N2,adam,2,2000,0.01,-1,35.23814206797129,1.9411950517945775,0.7219723535011232,2.910999511004775
buffer,quadratic,F2,N2,adam,3,2000,0.01,-1,54.53721674879231,2.95536439154216,0.8466988098915548,2.7749041380011477
buffer,quadratic,F2,N2,adam,4,2000,0.01,-1,63.1387259612263,3.4404169264027984,0.9124403112314978,4.9261544900000445
buffer,quadratic,F2,N2,adamw,0,2000,0.01,-1,92.2846446208535,4.829753110835634,1.0693686299538268,4.935417291002523
buffer,quadratic,F2,N2,adamw,1,2000,0.01,-1,54.19801858714848,2.939410675591732,0.8456313361526643,4.952492641998106
buffer,quadratic,F2,N2,adamw,2,2000,0.01,-1,35.15263151887115,1.9370212678751515,0.721419774814664,2.7834686480055097
buffer,quadratic,F2,N2,adamw,3,2000,0.01,-1,54.51475170065424,2.9542144503327012,0.8465610226680651,2.7824337460042443
buffer,quadratic,F2,N2,adamw,4,2000,0.01,-1,63.088982647540945,3.437677889420332,0.9120888449737391,2.780037899996387
buffer,quadratic,F2,N3,sgd,0,2000,0.01,-1,3.838057455322363,0.25269446608125407,0.5900620630703693,1.7267892770032631
