noise,sigma,filter,optimizer,seed,final_grad_norm_sq,holdout_acc
N1,0.6,F8,adam,1,0.046821995595443436,0.767
N1,0.6,F8,adam,2,0.02374775297962125,0.812
N1,0.6,F8,adam,3,0.021773791357431384,0.805
N1,0.8,F0,sgd,0,0.017305058530209923,0.816
N1,0.8,F0,sgd,1,0.04608851972337183,0.757
N1,0.8,F0,sgd,2,0.03588742105361097,0.786
N1,0.8,F0,sgd,3,0.024348980227404244,0.804
N1,0.8,F0,adam,0,0.019389214328331197,0.806
N1,0.8,F0,adam,1,0.05513693237583972,0.755
N1,0.8,F0,adam,2,0.03884673564197954,0.782
N1,0.8,F0,adam,3,0.02629232690943316,0.803
N1,0.8,F2,sgd,0,0.017656214337619873,0.813
N1,0.8,F2,sgd,1,0.05015708313178173,0.761
N1,0.8,F2,sgd,2,0.036974402152954895,0.791
N1,0.8,F2,sgd,3,0.024313508401292948,0.799
N1,0.8,F2,adam,0,0.032908106006380486,0.8
N1,0.8,F2,adam,1,0.08006196834494789,0.728
N1,0.8,F2,adam,2,0.05212396341861538,0.773
N1,0.8,F2,adam,3,0.031646313348093646,0.796
N1,0.8,F4,sgd,0,0.021406500013917487,0.804
N1,0.8,F4,sgd,1,0.04805780621618945,0.768
N1,0.8,F4,sgd,2,0.03774138335459039,0.777
N1,0.8,F4,sgd,3,0.02612659606285701,0.79
N1,0.8,F4,adam,0,0.029386008110372584,0.784
N1,0.8,F4,adam,1,0.06635173416767075,0.743
N1,0.8,F4,adam,2,0.04599975886619088,0.765
N1,0.8,F4,adam,3,0.0315595438942615,0.776
N1,0.8,F7,sgd,0,0.019703068000348753,0.797
N1,0.8,F7,sgd,1,0.044214219433409994,0.78
N1,0.8,F7,sgd,2,0.02672363788794204,0.805
N1,0.8,F7,sgd,3,0.023714293898341125,0.807
N1,0.8,F7,adam,0,0.02721004186245623,0.789
N1,0.8,F7,adam,1,0.06009101259266017,0.75
N1,0.8,F7,adam,2,0.03282574120621125,0.793
N1,0.8,F7,adam,3,0.028984106101865695,0.791
N1,0.8,F8,sgd,0,0.02036966763907893,0.796
N1,0.8,F8,sgd,1,0.04709179631640132,0.778
N1,0.8,F8,sgd,2,0.026769552000420117,0.804
N1,0.8,F8,sgd,3,0.024067910107419987,0.8
N1,0.8,F8,adam,0,0.02764331411355856,0.791
N1,0.8,F8,adam,1,0.060825758231002267,0.75
N1,0.8,F8,adam,2,0.032956921037528425,0.793
N1,0.8,F8,adam,3,0.029230624605912373,0.789
N1,1.0,F0,sgd,0,0.022895700264459643,0.809
N1,1.0,F0,sgd,1,0.06464001482394892,0.736
N1,1.0,F0,sgd,2,0.051221523340770306,0.763
N1,1.0,F0,sgd,3,0.03298815427348195,0.782
N1,1.0,F0,adam,0,0.02266996146753336,0.803
N1,1.0,F0,adam,1,0.06952227457376281,0.736
N1,1.0,F0,adam,2,0.05165569714280412,0.76
N1,1.0,F0,adam,3,0.033152304284069,0.784
N1,1.0,F2,sgd,0,0.023066621824580115,0.802
N1,1.0,F2,sgd,1,0.07023219857945633,0.732
N1,1.0,F2,sgd,2,0.052748018231365816,0.759
N1,1.0,F2,sgd,3,0.03281322490634889,0.778
N1,1.0,F2,adam,0,0.035448713060745575,0.793
N1,1.0,F2,adam,1,0.09705198509793794,0.705
N1,1.0,F2,adam,2,0.06733971577166238,0.734
N1,1.0,F2,adam,3,0.038675544216065574,0.773
N1,1.0,F4,sgd,0,0.02807305570771135,0.794
N1,1.0,F4,sgd,1,0.06550802363059512,0.745
N1,1.0,F4,sgd,2,0.051010088592851874,0.753
N1,1.0,F4,sgd,3,0.03530895006855613,0.781
N1,1.0,F4,adam,0,0.03401102987017412,0.791
N1,1.0,F4,adam,1,0.07979543556331146,0.724
N1,1.0,F4,adam,2,0.057063101900762664,0.749
N1,1.0,F4,adam,3,0.03991062903119281,0.765
N1,1.0,F7,sgd,0,0.026006480044188023,0.79
N1,1.0,F7,sgd,1,0.0606326782737493,0.758
N1,1.0,F7,sgd,2,0.03765017253249497,0.783
N1,1.0,F7,sgd,3,0.032248997349676435,0.785
N1,1.0,F7,adam,0,0.03139766632408587,0.788
N1,1.0,F7,adam,1,0.07385529058283632,0.728
N1,1.0,F7,adam,2,0.042938725966494666,0.78
N1,1.0,F7,adam,3,0.036201367995717285,0.772
N1,1.0,F8,sgd,0,0.026795672191631967,0.79
N1,1.0,F8,sgd,1,0.0642666058741417,0.753
N1,1.0,F8,sgd,2,0.0376407604464735,0.786
N1,1.0,F8,sgd,3,0.03271538349598096,0.784
N1,1.0,F8,adam,0,0.03187763188244695,0.789
N1,1.0,F8,adam,1,0.07461531990924776,0.727
N1,1.0,F8,adam,2,0.04316947052215891,0.779
N1,1.0,F8,adam,3,0.03646221206610597,0.771
N1,1.5,F0,sgd,0,0.03487277364318854,0.794
N1,1.5,F0,sgd,1,0.1069170247378691,0.693
N1,1.5,F0,sgd,2,0.0873326602542318,0.696
N1,1.5,F0,sgd,3,0.053181785486162,0.758
N1,1.5,F0,adam,0,0.0315816448881291,0.8
N1,1.5,F0,adam,1,0.10230289822649097,0.686
N1,1.5,F0,adam,2,0.08024067219253328,0.709
N1,1.5,F0,adam,3,0.05001111543024097,0.756
N1,1.5,F2,sgd,0,0.03482807750975201,0.795
N1,1.5,F2,sgd,1,0.11437417656572003,0.668
N1,1.5,F2,sgd,2,0.08943600501163645,0.702
N1,1.5,F2,sgd,3,0.05262994063128744,0.755
N1,1.5,F2,adam,0,0.04235622942544187,0.789
N1,1.5,F2,adam,1,0.13224218645372332,0.659
N1,1.5,F2,adam,2,0.10200220941490494,0.69
N1,1.5,F2,adam,3,0.05569869469617916,0.741
N1,1.5,F4,sgd,0,0.04353253764746288,0.775
N1,1.5,F4,sgd,1,0.10241545098548081,0.687
N1,1.5,F4,sgd,2,0.07807690505901174,0.707
N1,1.5,F4,sgd,3,0.05659357806098753,0.748
N1,1.5,F4,adam,0,0.046460109174846935,0.768
N1,1.5,F4,adam,1,0.10875000409021145,0.687
N1,1.5,F4,adam,2,0.07947392343941816,0.708
N1,1.5,F4,adam,3,0.05989033715449818,0.737
N1,1.5,F7,sgd,0,0.040573438286695795,0.789
N1,1.5,F7,sgd,1,0.09606498324109965,0.699
N1,1.5,F7,sgd,2,0.061857649869047154,0.739
N1,1.5,F7,sgd,3,0.05268411398652768,0.749
N1,1.5,F7,adam,0,0.04272742340692313,0.782
N1,1.5,F7,adam,1,0.10324189051986056,0.684
N1,1.5,F7,adam,2,0.06438784415334205,0.735
N1,1.5,F7,adam,3,0.05402163983723725,0.747
N1,1.5,F8,sgd,0,0.04164195622646175,0.784
N1,1.5,F8,sgd,1,0.10039712727449024,0.691
N1,1.5,F8,sgd,2,0.06174972283465334,0.742
N1,1.5,F8,sgd,3,0.053302881861813825,0.749
N1,1.5,F8,adam,0,0.04327024815873804,0.779
N1,1.5,F8,adam,1,0.10402488669561855,0.683
N1,1.5,F8,adam,2,0.06478393575011955,0.732
N1,1.5,F8,adam,3,0.05430056644577319,0.747
N1,2.0,F0,sgd,0,0.045673100984647705,0.785
N1,2.0,F0,sgd,1,0.1381549818539419,0.655
N1,2.0,F0,sgd,2,0.11688379244695936,0.666
N1,2.0,F0,sgd,3,0.07159909386041634,0.722
N1,2.0,F0,adam,0,0.041255135117492854,0.788
N1,2.0,F0,adam,1,0.1294011564513864,0.659
