ticker,filter,optimizer,snr_target,holdout_mse,snr_in_db,snr_out_db
fx,F4 Median,sgd,0.0,0.13514655592473404,4.286117360553897e-10,4.139826846187314
fx,F4 Median,adam,0.0,0.13501860664837645,4.286117360553897e-10,4.139826846187314
fx,F4 Median,adamw,0.0,0.1350188350540326,4.286117360553897e-10,4.139826846187314
fx,F0,sgd,-3.0,0.3243998646540362,-2.9999999995713877,-4.32644832782294
fx,F0,adam,-3.0,0.32439986465403625,-2.9999999995713877,-4.32644832782294
fx,F0,adamw,-3.0,0.32440006478828526,-2.9999999995713877,-4.32644832782294
fx,F1 MA,sgd,-3.0,0.20159294966226202,-2.9999999995713877,2.4792108881030326
fx,F1 MA,adam,-3.0,0.20120089938278346,-2.9999999995713877,2.4792108881030326
fx,F1 MA,adamw,-3.0,0.20120127803442692,-2.9999999995713877,2.4792108881030326
fx,F2 Kalman,sgd,-3.0,0.062101570367857996,-2.9999999995713877,7.75527051158028
fx,F2 Kalman,adam,-3.0,0.06317674153258411,-2.9999999995713877,7.75527051158028
fx,F2 Kalman,adamw,-3.0,0.06317186600056855,-2.9999999995713877,7.75527051158028
fx,F3 Wavelet,sgd,-3.0,0.030851020260943322,-2.9999999995713877,15.36655727566778
fx,F3 Wavelet,adam,-3.0,0.03128540093444034,-2.9999999995713877,15.36655727566778
fx,F3 Wavelet,adamw,-3.0,0.03128488712822264,-2.9999999995713877,15.36655727566778
fx,F4 Median,sgd,-3.0,0.2537851313872169,-2.9999999995713877,1.1432458401293666
fx,F4 Median,adam,-3.0,0.25376450928874605,-2.9999999995713877,1.1432458401293666
fx,F4 Median,adamw,-3.0,0.25376479087071985,-2.9999999995713877,1.1432458401293666
crypto,F0,sgd,3.0,0.09265922458029519,3.000000000332805,3.5857476547532623
crypto,F0,adam,3.0,0.0926592245512492,3.000000000332805,3.5857476547532623
crypto,F0,adamw,3.0,0.09265921011945442,3.000000000332805,3.5857476547532623
crypto,F1 MA,sgd,3.0,0.05816222708230739,3.000000000332805,10.827412460604135
crypto,F1 MA,adam,3.0,0.056530653283642755,3.000000000332805,10.827412460604135
crypto,F1 MA,adamw,3.0,0.05653081991295891,3.000000000332805,10.827412460604135
crypto,F2 Kalman,sgd,3.0,0.116353865414917,3.000000000332805,11.6507880702693
crypto,F2 Kalman,adam,3.0,0.10080707636269341,3.000000000332805,11.6507880702693
crypto,F2 Kalman,adamw,3.0,0.10081501381876007,3.000000000332805,11.6507880702693
crypto,F3 Wavelet,sgd,3.0,0.009012572076963106,3.000000000332805,18.526476307225614
crypto,F3 Wavelet,adam,3.0,0.008985090693912248,3.000000000332805,18.526476307225614
crypto,F3 Wavelet,adamw,3.0,0.00898513547570988,3.000000000332805,18.526476307225614
crypto,F4 Median,sgd,3.0,0.06379876944788969,3.000000000332805,9.496880970631894
crypto,F4 Median,adam,3.0,0.06316412926576058,3.000000000332805,9.496880970631894
crypto,F4 Median,adamw,3.0,0.0631643036407769,3.000000000332805,9.496880970631894
crypto,F0,sgd,0.0,0.17151430574042809,3.328058022617191e-10,0.5857476547532623
crypto,F0,adam,0.0,0.17151430574042806,3.328058022617191e-10,0.5857476547532623
crypto,F0,adamw,0.0,0.17151425786829436,3.328058022617191e-10,0.5857476547532623
crypto,F1 MA,sgd,0.0,0.10822778202753255,3.328058022617191e-10,7.830161580851622
crypto,F1 MA,adam,0.0,0.10757909821609904,3.328058022617191e-10,7.830161580851622
crypto,F1 MA,adamw,0.0,0.10757913274205319,3.328058022617191e-10,7.830161580851622
crypto,F2 Kalman,sgd,0.0,0.12231559717426088,3.328058022617191e-10,11.311099430656952
crypto,F2 Kalman,adam,0.0,0.11084562115369093,3.328058022617191e-10,11.311099430656952
crypto,F2 Kalman,adamw,0.0,0.11085015648968917,3.328058022617191e-10,11.311099430656952
crypto,F3 Wavelet,sgd,0.0,0.01802298234357251,3.328058022617191e-10,17.265008340489338
crypto,F3 Wavelet,adam,0.0,0.018021796237631855,3.328058022617191e-10,17.265008340489338
crypto,F3 Wavelet,adamw,0.0,0.01802183325434715,3.328058022617191e-10,17.265008340489338
