ticker,filter,optimizer,horizon,seed,holdout_mse
BTC-USD,F8,adam,5,0,0.0010328725740326044
BTC-USD,F8,adam,5,1,0.001032872574032628
BTC-USD,F9,adam,5,0,0.001568461081441943
BTC-USD,F9,adam,5,1,0.0015703577018782926
BTC-USD,F0,adam,10,0,0.0005618026920334474
BTC-USD,F0,adam,10,1,0.0005618026688425107
BTC-USD,F4,adam,10,0,0.0005625499488663259
BTC-USD,F4,adam,10,1,0.0005625499488663259
BTC-USD,F7,adam,10,0,0.0006349769126857324
BTC-USD,F7,adam,10,1,0.0006349769126857324
BTC-USD,F8,adam,10,0,0.0006349769126857324
BTC-USD,F8,adam,10,1,0.0006349769126857324
BTC-USD,F9,adam,10,0,0.0014201557493356276
BTC-USD,F9,adam,10,1,0.001421275191178312
BTC-USD,F0,adam,20,0,0.0005189654498945573
BTC-USD,F0,adam,20,1,0.0005189654498945573
BTC-USD,F4,adam,20,0,0.0005192547256815585
BTC-USD,F4,adam,20,1,0.0005192547256815585
BTC-USD,F7,adam,20,0,0.0005324705263011322
BTC-USD,F7,adam,20,1,0.0005324705263011321
BTC-USD,F8,adam,20,0,0.0005324705263011322
BTC-USD,F8,adam,20,1,0.0005324705263011321
BTC-USD,F9,adam,20,0,0.001310467236607892
BTC-USD,F9,adam,20,1,0.00131081224460317
BTC-USD,F0,adam,1,0,0.0003485555463618671
BTC-USD,F0,adam,1,1,0.0003485555463618671
BTC-USD,F4,adam,1,0,0.0005325177354210987
BTC-USD,F4,adam,1,1,0.0005325177354210987
BTC-USD,F7,adam,1,0,0.0014109643484820006
BTC-USD,F7,adam,1,1,0.0014188981233457915
BTC-USD,F8,adam,1,0,0.0014109643484820006
BTC-USD,F8,adam,1,1,0.0014188981233457915
BTC-USD,F9,adam,1,0,0.002123281661083331
BTC-USD,F9,adam,1,1,0.002123007561653882
BTC-USD,F0,adam,5,0,0.00035581327553061836
BTC-USD,F0,adam,5,1,0.0003558054730457878
BTC-USD,F4,adam,5,0,0.0003565146959343897
BTC-USD,F4,adam,5,1,0.0003565146959343897
BTC-USD,F7,adam,5,0,0.002551617628657921
BTC-USD,F7,adam,5,1,0.002570583174976656
BTC-USD,F8,adam,5,0,0.002551617628657921
BTC-USD,F8,adam,5,1,0.002570583174976656
BTC-USD,F9,adam,5,0,0.002095723492934863
BTC-USD,F9,adam,5,1,0.0020969098018727623
BTC-USD,F0,adam,10,0,0.00036548963354703865
BTC-USD,F0,adam,10,1,0.0003654896431261707
BTC-USD,F4,adam,10,0,0.0003643370270305153
BTC-USD,F4,adam,10,1,0.0003643370270305153
BTC-USD,F7,adam,10,0,0.0008365256166723183
BTC-USD,F7,adam,10,1,0.0008432642936837865
BTC-USD,F8,adam,10,0,0.0008365256166723183
