domain,model,optimizer,alpha_hat,hurst_hat,bucket,best_filter,speedup,best_holdout,f0_holdout,f0_conv_frac
financial_5m,classification,sgd,1.6045034799830389,0.065512179142625,heavy_short,F0,1.0,0.4964098583349505,0.4964098583349505,0.75
financial_5m,regression,adam,1.6045034799830389,0.065512179142625,heavy_short,F2,77.91919191919192,0.6384378879965333,0.627690115241545,0.5
financial_5m,regression,sgd,1.6045034799830389,0.065512179142625,heavy_short,F6,0.33598937583001326,0.6280325026193783,0.6280325026193783,1.0
financial_crypto_1h,classification,adam,1.4695960480794552,0.0505267586242611,heavy_short,F6,6.9350811485642945,0.4686907020872865,0.5453510436432638,0.75
financial_crypto_1h,classification,sgd,1.4695960480794552,0.0505267586242611,heavy_short,F0,1.0,0.5451612903225806,0.5451612903225806,1.0
financial_crypto_1h,regression,adam,1.4695960480794552,0.0505267586242611,heavy_short,F2,77.66990291262135,0.9310509355554488,0.9184934972695769,0.375
financial_crypto_1h,regression,sgd,1.4695960480794552,0.0505267586242611,heavy_short,F1,0.4403183023872679,0.9635457235446674,0.9191686373018,1.0
financial_daily,classification,adam,1.5310650497673481,0.062108457142768345,heavy_short,F6,9.247027741083222,0.4880382775119617,0.5047846889952153,0.5
financial_daily,classification,sgd,1.5310650497673481,0.062108457142768345,heavy_short,F0,1.0,0.5015948963317385,0.5015948963317385,1.0
financial_daily,regression,adam,1.5310650497673481,0.062108457142768345,heavy_short,F2,18.568181818181817,0.8765192966243729,0.8571326617686497,0.7083333333333334
financial_daily,regression,sgd,1.5310650497673481,0.062108457142768345,heavy_short,F1,0.19679430097951914,0.9102692729874235,0.8565537208366846,1.0
financial_vol_crypto,classification,adam,1.4822974004848404,0.7984476646429601,heavy_long,F7,0.20268006700167504,0.638899430740038,0.6250474383301707,1.0
financial_vol_crypto,classification,sgd,1.4822974004848404,0.7984476646429601,heavy_long,F7,0.2622557422008913,0.6307400379506641,0.6252371916508539,1.0
financial_vol_crypto,regression,adam,1.4822974004848404,0.7984476646429601,heavy_long,F1,1.6,0.8355677685435434,0.7955559590894992,1.0
financial_vol_crypto,regression,sgd,1.4822974004848404,0.7984476646429601,heavy_long,F1,0.690677966101695,0.841345984111602,0.7959000324197665,1.0
financial_vol_daily,classification,adam,2.0,0.6352579826592267,light_long,F0,1.0,0.5215311004784688,0.5215311004784688,1.0
financial_vol_daily,classification,sgd,2.0,0.6352579826592267,light_long,F0,1.0,0.5247208931419458,0.5247208931419458,1.0
financial_vol_daily,regression,adam,2.0,0.6352579826592267,light_long,F1,1.880952380952381,1.013586120696479,0.9714444195999856,1.0
financial_vol_daily,regression,sgd,2.0,0.6352579826592267,light_long,F1,0.45506692160611856,1.024561843634976,0.9723945647552614,1.0
macro_fred,classification,adam,1.9978406173916812,0.5105418743251077,light_short,F6,1.0,0.9963235294117647,0.9963235294117647,1.0
macro_fred,classification,sgd,1.9978406173916812,0.5105418743251077,light_short,F6,1.0,0.9926470588235294,0.9926470588235294,1.0
macro_fred,regression,adam,1.9978406173916812,0.5105418743251077,light_short,F6,1.0,0.007697386815824773,0.007697386815824773,1.0
macro_fred,regression,sgd,1.9978406173916812,0.5105418743251077,light_short,F6,1.0,0.008160441549172837,0.008160441549172837,1.0
noaa_weather,classification,adam,1.6608917112299466,0.21763870217535086,heavy_short,F6,0.8959276018099548,0.8909892148904094,0.9106169546561522,1.0
noaa_weather,classification,sgd,1.6608917112299466,0.21763870217535086,heavy_short,F6,0.9248452696728559,0.886321465847153,0.8995709149947814,1.0
noaa_weather,regression,adam,1.6608917112299466,0.21763870217535086,heavy_short,F0,1.0,0.1202528061303999,0.1202528061303999,1.0
noaa_weather,regression,sgd,1.6608917112299466,0.21763870217535086,heavy_short,F0,1.0,0.11982293704651761,0.11982293704651761,1.0
scientific_sunspots,classification,adam,2.0,1.152804722011239,light_long,F6,0.7649572649572649,0.8560970029741477,0.8864104323953328,1.0
scientific_sunspots,classification,sgd,2.0,1.152804722011239,light_long,F6,0.8356164383561644,0.8611301761610616,0.8834362846030657,1.0
scientific_sunspots,regression,adam,2.0,1.152804722011239,light_long,F0,1.0,0.2244057982118013,0.2244057982118013,1.0
scientific_sunspots,regression,sgd,2.0,1.152804722011239,light_long,F0,1.0,0.2242643781837606,0.2242643781837606,1.0
sensor_etth1,classification,adam,1.4444994580766801,0.13249693643545793,heavy_short,F1,0.8712871287128713,0.782708492731446,0.8825554705432288,1.0
sensor_etth1,classification,sgd,1.4444994580766801,0.13249693643545793,heavy_short,F1,0.7628350749659246,0.7785003825554706,0.8752869166029074,1.0
sensor_etth1,regression,adam,1.4444994580766801,0.13249693643545793,heavy_short,F0,1.0,0.48773171325959974,0.48773171325959974,1.0
sensor_etth1,regression,sgd,1.4444994580766801,0.13249693643545793,heavy_short,F0,1.0,0.49138953035747596,0.49138953035747596,1.0
sensor_etth2,classification,adam,1.4659222240883296,0.1563491206983994,heavy_short,F6,0.9123505976095617,0.8848508033664881,0.919663351185922,1.0
sensor_etth2,classification,sgd,1.4659222240883296,0.1563491206983994,heavy_short,F6,0.9262352122477383,0.8902065799540934,0.9058913542463658,1.0
sensor_etth2,regression,adam,1.4659222240883296,0.1563491206983994,heavy_short,F0,1.0,0.13549409922081082,0.13549409922081082,1.0
sensor_etth2,regression,sgd,1.4659222240883296,0.1563491206983994,heavy_short,F0,1.0,0.137717766365916,0.137717766365916,1.0
sensor_ettm1,classification,adam,1.3896841026726285,0.2176414350409142,heavy_short,F6,0.8900862068965517,0.9209720627631075,0.9512055109070034,1.0
sensor_ettm1,classification,sgd,1.3896841026726285,0.2176414350409142,heavy_short,F6,0.9051808406647116,0.9064293915040185,0.9383849980864907,1.0
sensor_ettm1,regression,adam,1.3896841026726285,0.2176414350409142,heavy_short,F0,1.0,0.10101266109453622,0.10101266109453622,1.0
sensor_ettm1,regression,sgd,1.3896841026726285,0.2176414350409142,heavy_short,F0,1.0,0.10187978250729363,0.10187978250729363,1.0
sensor_ettm2,classification,adam,1.4906860143863156,0.2463647720791597,heavy_short,F6,0.9413919413919414,0.9328358208955224,0.9500574052812858,1.0
sensor_ettm2,classification,sgd,1.4906860143863156,0.2463647720791597,heavy_short,F6,0.9484605087014726,0.9158055874473785,0.9342709529276694,1.0
sensor_ettm2,regression,adam,1.4906860143863156,0.2463647720791597,heavy_short,F0,1.0,0.04764335417965759,0.04764335417965759,1.0
sensor_ettm2,regression,sgd,1.4906860143863156,0.2463647720791597,heavy_short,F0,1.0,0.04981469757955556,0.04981469757955556,1.0
traffic_pems,classification,adam,1.8743936672967871,0.6094088863518212,heavy_long,F6,0.9021601016518425,0.8545782674772037,0.9194528875379939,1.0
traffic_pems,classification,sgd,1.8743936672967871,0.6094088863518212,heavy_long,F6,0.8213921901528014,0.823233282674772,0.8977963525835866,0.75
traffic_pems,regression,adam,1.8743936672967871,0.6094088863518212,heavy_long,F0,1.0,0.312598829658879,0.312598829658879,1.0
traffic_pems,regression,sgd,1.8743936672967871,0.6094088863518212,heavy_long,F0,1.0,0.31269068946288725,0.31269068946288725,1.0
