domain,model,optimizer,filter,n_cells,causal,t_conv_med,conv_frac,floor_p50_med,slope_mean,auc_mean,holdout_med,alpha_hat_med,hurst_hat_med,speedup_vs_F0,floor_ratio_vs_F0,bucket
cmapss_turbofan,classification,adam,F0,24,1,116.5,1.0,3.4543335703712324e-05,0.3515637732526848,-4.128929522642035,0.8793103448275862,2.0,0.0994538654098711,1.0,1.0,light_short
cmapss_turbofan,classification,adam,F1,24,1,206.0,1.0,8.040590728361671e-06,-1.9862132790978215,-4.358977533005082,0.9051724137931034,2.0,0.0994538654098711,0.5655339805825242,4.296119137349847,light_short
cmapss_turbofan,classification,adam,F2,24,1,187.0,1.0,5.522763204351184e-06,-2.7405255382813425,-4.479012599306777,0.7586206896551724,2.0,0.0994538654098711,0.6229946524064172,6.254719680267459,light_short
cmapss_turbofan,classification,adam,F3,24,0,215.0,1.0,1.6596660463645893e-05,-1.7804927008985452,-4.134341974047964,0.9051724137931034,2.0,0.0994538654098711,0.541860465116279,2.081342555592896,light_short
cmapss_turbofan,classification,adam,F4,24,1,195.5,1.0,1.4180004313450369e-05,-1.4902015451265012,-4.227558972712402,0.896551724137931,2.0,0.0994538654098711,0.5959079283887468,2.436059604787738,light_short
cmapss_turbofan,classification,adam,F5,24,1,187.5,1.0,5.578267455306695e-06,-2.66265114897234,-4.475135411250376,0.7672413793103448,2.0,0.0994538654098711,0.6213333333333333,6.192484670280679,light_short
cmapss_turbofan,classification,adam,F6,24,1,116.5,1.0,3.4543335703712324e-05,0.3515637732526848,-4.128929522642035,0.8793103448275862,2.0,0.0994538654098711,1.0,1.0,light_short
cmapss_turbofan,classification,adam,F7,24,1,190.5,1.0,1.6673926176685666e-05,-1.442187355103694,-4.238947520975515,0.896551724137931,2.0,0.0994538654098711,0.6115485564304461,2.0716977715789926,light_short
cmapss_turbofan,classification,sgd,F0,24,1,895.5,1.0,5.615024935337768e-05,-1.9010134553586424,-3.406309876184657,0.8879310344827587,2.0,0.0994538654098711,1.0,1.0,light_short
cmapss_turbofan,classification,sgd,F1,24,1,1345.0,1.0,0.0007612617917972958,-1.7405857363461406,-2.4949007484411982,0.9051724137931034,2.0,0.0994538654098711,0.6657992565055763,0.07375944774636611,light_short
cmapss_turbofan,classification,sgd,F2,24,1,1083.0,1.0,0.0005869801099626683,-1.8670366197021442,-2.534554433329802,0.7586206896551724,2.0,0.0994538654098711,0.8268698060941828,0.09565954348427379,light_short
cmapss_turbofan,classification,sgd,F3,24,0,1469.0,1.0,0.0008338506714824985,-1.6125184470538523,-2.448364482723685,0.9051724137931034,2.0,0.0994538654098711,0.6095983662355344,0.06733849509714786,light_short
cmapss_turbofan,classification,sgd,F4,24,1,1321.5,1.0,0.000719151620050794,-1.6454834631469792,-2.5580570352157594,0.896551724137931,2.0,0.0994538654098711,0.677639046538025,0.07807845771022773,light_short
cmapss_turbofan,classification,sgd,F5,24,1,1065.0,1.0,0.0005888407672772761,-1.862312507581833,-2.5452440595378056,0.7586206896551724,2.0,0.0994538654098711,0.8408450704225352,0.09535727224357987,light_short
cmapss_turbofan,classification,sgd,F6,24,1,895.5,1.0,5.615024935337768e-05,-1.9010134553586424,-3.406309876184657,0.8879310344827587,2.0,0.0994538654098711,1.0,1.0,light_short
cmapss_turbofan,classification,sgd,F7,24,1,1285.0,1.0,0.0005364031620534427,-1.8245339052885325,-2.6108415451001568,0.896551724137931,2.0,0.0994538654098711,0.6968871595330739,0.10467919155887329,light_short
cmapss_turbofan,regression,adam,F0,24,1,19.0,1.0,0.0008156944950791279,0.08907260439192584,-3.059924034757018,0.31565899753672944,2.0,0.0994538654098711,1.0,1.0,light_short
cmapss_turbofan,regression,adam,F1,24,1,20.0,1.0,0.00036140008937926544,0.08308938949172849,-3.555824503006836,0.30947158788393353,2.0,0.0994538654098711,0.95,2.257040103338521,light_short
cmapss_turbofan,regression,adam,F2,24,1,20.0,1.0,0.0003785749471921579,0.09137829129363291,-3.5568496996201495,0.9467956349911872,2.0,0.0994538654098711,0.95,2.1546446777026054,light_short
