ticker,kind,window,seed,acc,majority
BTC-USD,centered,3,2,0.66,0.505
BTC-USD,causal,3,0,0.48,0.505
BTC-USD,causal,3,1,0.46,0.505
BTC-USD,causal,3,2,0.47,0.505
BTC-USD,centered,5,0,0.655,0.505
BTC-USD,centered,5,1,0.645,0.505
BTC-USD,centered,5,2,0.64,0.505
BTC-USD,causal,5,0,0.5,0.505
BTC-USD,causal,5,1,0.48,0.505
BTC-USD,causal,5,2,0.49,0.505
BTC-USD,centered,7,0,0.61,0.505
BTC-USD,centered,7,1,0.615,0.505
BTC-USD,centered,7,2,0.61,0.505
BTC-USD,causal,7,0,0.49,0.505
BTC-USD,causal,7,1,0.485,0.505
BTC-USD,causal,7,2,0.48,0.505
BTC-USD,centered,9,0,0.61,0.505
BTC-USD,centered,9,1,0.62,0.505
BTC-USD,centered,9,2,0.615,0.505
BTC-USD,causal,9,0,0.53,0.505
BTC-USD,causal,9,1,0.53,0.505
BTC-USD,causal,9,2,0.54,0.505
BTC-USD,centered,13,0,0.605,0.505
BTC-USD,centered,13,1,0.6,0.505
BTC-USD,centered,13,2,0.59,0.505
BTC-USD,causal,13,0,0.465,0.505
BTC-USD,causal,13,1,0.46,0.505
BTC-USD,causal,13,2,0.49,0.505
BTC-USD,identity,1,0,0.475,0.505
BTC-USD,identity,1,1,0.48,0.505
BTC-USD,identity,1,2,0.51,0.505
ETH-USD,centered,3,0,0.725,0.59
ETH-USD,centered,3,1,0.725,0.59
ETH-USD,centered,3,2,0.715,0.59
ETH-USD,causal,3,0,0.475,0.59
ETH-USD,causal,3,1,0.51,0.59
ETH-USD,causal,3,2,0.46,0.59
ETH-USD,centered,5,0,0.685,0.59
ETH-USD,centered,5,1,0.685,0.59
ETH-USD,centered,5,2,0.67,0.59
ETH-USD,causal,5,0,0.46,0.59
ETH-USD,causal,5,1,0.48,0.59
ETH-USD,causal,5,2,0.465,0.59
ETH-USD,centered,7,0,0.625,0.59
ETH-USD,centered,7,1,0.64,0.59
ETH-USD,centered,7,2,0.635,0.59
ETH-USD,causal,7,0,0.45,0.59
ETH-USD,causal,7,1,0.47,0.59
ETH-USD,causal,7,2,0.495,0.59
ETH-USD,centered,9,0,0.595,0.59
ETH-USD,centered,9,1,0.62,0.59
ETH-USD,centered,9,2,0.605,0.59
ETH-USD,causal,9,0,0.515,0.59
ETH-USD,causal,9,1,0.515,0.59
ETH-USD,causal,9,2,0.51,0.59
ETH-USD,centered,13,0,0.61,0.59
ETH-USD,centered,13,1,0.62,0.59
ETH-USD,centered,13,2,0.625,0.59
ETH-USD,causal,13,0,0.525,0.59
ETH-USD,causal,13,1,0.525,0.59
ETH-USD,causal,13,2,0.515,0.59
ETH-USD,identity,1,0,0.43,0.59
ETH-USD,identity,1,1,0.485,0.59
ETH-USD,identity,1,2,0.505,0.59
ETH-USD,centered,3,0,0.715,0.5449999999999999
ETH-USD,centered,3,1,0.72,0.5449999999999999
ETH-USD,centered,3,2,0.635,0.5449999999999999
ETH-USD,causal,3,0,0.485,0.5449999999999999
ETH-USD,causal,3,1,0.495,0.5449999999999999
ETH-USD,causal,3,2,0.49,0.5449999999999999
ETH-USD,centered,5,0,0.67,0.5449999999999999
ETH-USD,centered,5,1,0.645,0.5449999999999999
ETH-USD,centered,5,2,0.645,0.5449999999999999
ETH-USD,causal,5,0,0.355,0.5449999999999999
ETH-USD,causal,5,1,0.355,0.5449999999999999
ETH-USD,causal,5,2,0.355,0.5449999999999999
ETH-USD,centered,7,0,0.645,0.5449999999999999
ETH-USD,centered,7,1,0.63,0.5449999999999999
ETH-USD,centered,7,2,0.61,0.5449999999999999
ETH-USD,causal,7,0,0.48,0.5449999999999999
ETH-USD,causal,7,1,0.445,0.5449999999999999
ETH-USD,causal,7,2,0.46,0.5449999999999999
ETH-USD,centered,9,0,0.615,0.5449999999999999
ETH-USD,centered,9,1,0.595,0.5449999999999999
ETH-USD,centered,9,2,0.61,0.5449999999999999
ETH-USD,causal,9,0,0.425,0.5449999999999999
ETH-USD,causal,9,1,0.435,0.5449999999999999
