n,mean_log_diff,floor_ratio,t_stat,p_one_sided,cohen_d,ci_lo,ci_hi,wilcoxon_p,perm_p,power,boot_ratio,boot_ratio_lo,boot_ratio_hi,block,model,noise,optimizer,filter,metric,conv_F0,conv_Fk,speedup,p_holm
100,0.01841662630198968,1.043317822527313,8.543433575906556,8.108954973183393e-14,0.8543433575906557,0.014139355135387208,0.022693897468592156,4.1789520518391336e-13,0.0,0.9999999999960132,1.0481488660148615,0.9846009662276619,1.1319270507906862,A,ar,N4,sgd,F3,floor,0.04,0.04,,1.1109268313261248e-11
100,0.011322524836483012,1.0264139002025974,8.364786276704095,1.9722779612106965e-13,0.8364786276704096,0.008636700600065116,0.014008349072900907,3.1539055171185544e-11,0.0,0.9999999999864614,1.0264202949417156,1.006632929228974,1.040532993482022,B,ar,N2,adam,F4,floor,1.0,1.0,,2.6822980272465473e-11
100,0.011318467993859044,1.0264043122838342,8.360774952094797,2.0119737901834299e-13,0.8360774952094797,0.008632317943510343,0.014004618044207745,3.1539055171185544e-11,0.0,0.9999999999860895,1.0264056362201521,1.0066210637807886,1.0405227928020355,B,ar,N2,adamw,F4,floor,1.0,1.0,,2.7161646167476302e-11
100,0.1458323308461315,1.3990470846962708,8.313737357139734,2.5413084703840026e-13,0.8313737357139735,0.1110269273900775,0.18063773430218552,4.54852115765548e-11,0.0,0.9999999999809086,1.4881756465495142,1.2783823277604676,1.71544296947612,A,ar,N3,sgd,F2,floor,1.0,1.0,,3.4053533503145634e-11
100,0.03751907203305301,1.0902323688654576,7.913851040533722,1.8346162756744555e-12,0.7913851040533723,0.028112023763941497,0.04692612030216453,7.488998843388209e-11,0.0,0.9999999997416092,1.0931089005586097,1.0125146611144797,1.129490523288762,A,ar,N3,sgd,F1,floor,1.0,1.0,,2.4400396466470256e-10
100,0.014295117991124035,1.0334634410484498,7.891586339332101,2.0469909264288585e-12,0.7891586339332102,0.010700832352958455,0.017889403629289615,2.587018389420334e-12,0.0,0.9999999997026245,1.003844578425036,0.9871794152266624,1.0701448498067425,B,ar,N4,adamw,F3,floor,0.0,0.01,,2.702028022886093e-10
100,0.01428083410778294,1.0334294511427773,7.880641778232296,2.1601817393736388e-12,0.7880641778232296,0.01068515320821255,0.01787651500735333,2.9907796733617148e-12,0.0,0.9999999996814127,1.003854959308578,0.9873084849388772,1.0702671316748607,B,ar,N4,adam,F3,floor,0.0,0.01,,2.829838078579467e-10
100,0.04702652341993373,1.1143625883462551,7.021980619492508,1.3935881000508142e-10,0.7021980619492508,0.033738132295451195,0.06031491454441626,1.0401067796142078e-17,0.0,0.9999999504527006,1.1789140819312567,1.0652782966738898,1.3265174469700929,A,quadratic,N4,sgd,F4,floor,0.0,0.0,,1.8116645300660584e-08
100,0.005524520956321916,1.0128019316060872,6.42828980224396,2.284436056834709e-09,0.6428289802243959,0.0038192698759066572,0.0072297720367371756,5.964332247454791e-09,0.0,0.9999989254820745,0.9913982170629067,0.9829135900766846,1.038763790480781,B,logistic,N4,adamw,F3,floor,0.0,0.0,,2.946922513316774e-07
100,0.023670285698183868,1.056015482880824,6.411598967027265,2.468227520112797e-09,0.6411598967027266,0.016344970691595708,0.030995600704772027,5.317101071468484e-10,0.0,0.9999988340728777,1.0663249787689102,0.9943660589883447,1.127316464100201,B,logistic,N2,adamw,F3,floor,0.0,0.0,,3.15933122574438e-07
