ticker,filter,optimizer,seed,holdout_mse
EURUSD=X,F1 MA,adam,1,2.0221292744653837e-05
EURUSD=X,F1 MA,adamw,0,2.022085512392394e-05
EURUSD=X,F1 MA,adamw,1,2.022085921961363e-05
EURUSD=X,F2 Kalman,adam,0,2.8106426923442475e-05
EURUSD=X,F2 Kalman,adam,1,2.819592348845142e-05
EURUSD=X,F2 Kalman,adamw,0,2.8098366341264125e-05
EURUSD=X,F2 Kalman,adamw,1,2.8187751378626723e-05
EURUSD=X,F4c Causal Median,adam,0,1.585332210440321e-05
EURUSD=X,F4c Causal Median,adam,1,1.585332210440321e-05
EURUSD=X,F4c Causal Median,adamw,0,1.585322754123328e-05
EURUSD=X,F4c Causal Median,adamw,1,1.585322917307113e-05
EURUSD=X,F0,adam,0,3.3182459114311044e-05
EURUSD=X,F0,adam,1,3.3182459114311044e-05
EURUSD=X,F0,adamw,0,3.3182458905316764e-05
EURUSD=X,F0,adamw,1,3.318245885617495e-05
EURUSD=X,F1 MA,adam,0,5.4309158775781264e-05
EURUSD=X,F1 MA,adam,1,5.4309158775781264e-05
EURUSD=X,F1 MA,adamw,0,5.430840668194964e-05
EURUSD=X,F1 MA,adamw,1,5.430841396578364e-05
EURUSD=X,F2 Kalman,adam,0,6.063697559587218e-05
EURUSD=X,F2 Kalman,adam,1,6.068264311094336e-05
EURUSD=X,F2 Kalman,adamw,0,6.062874527605375e-05
EURUSD=X,F2 Kalman,adamw,1,6.0674364873701364e-05
EURUSD=X,F4c Causal Median,adam,0,4.489175731281854e-05
EURUSD=X,F4c Causal Median,adam,1,4.489175731281854e-05
EURUSD=X,F4c Causal Median,adamw,0,4.489156786308812e-05
EURUSD=X,F4c Causal Median,adamw,1,4.4891571062544015e-05
EURUSD=X,F0,adam,0,9.00946035962692e-06
EURUSD=X,F0,adam,1,9.00946035962692e-06
EURUSD=X,F0,adamw,0,9.009460354139523e-06
EURUSD=X,F0,adamw,1,9.009460352476603e-06
EURUSD=X,F1 MA,adam,0,1.5483315904047185e-05
EURUSD=X,F1 MA,adam,1,1.548331590404718e-05
EURUSD=X,F1 MA,adamw,0,1.5483160258947098e-05
EURUSD=X,F1 MA,adamw,1,1.5483161980572748e-05
EURUSD=X,F2 Kalman,adam,0,1.7664418143923135e-05
EURUSD=X,F2 Kalman,adam,1,1.771069450089664e-05
EURUSD=X,F2 Kalman,adamw,0,1.766177801136643e-05
EURUSD=X,F2 Kalman,adamw,1,1.7707983525647526e-05
EURUSD=X,F4c Causal Median,adam,0,1.2496738242838704e-05
EURUSD=X,F4c Causal Median,adam,1,1.2496738242838704e-05
EURUSD=X,F4c Causal Median,adamw,0,1.2496697532321903e-05
EURUSD=X,F4c Causal Median,adamw,1,1.2496698304901517e-05
EURUSD=X,F0,adam,0,1.003919012026496e-05
EURUSD=X,F0,adam,1,1.003919012026496e-05
EURUSD=X,F0,adamw,0,1.003919010840231e-05
EURUSD=X,F0,adamw,1,1.0039190111132547e-05
EURUSD=X,F1 MA,adam,0,1.5560104396172334e-05
EURUSD=X,F1 MA,adam,1,1.5560104396172334e-05
EURUSD=X,F1 MA,adamw,0,1.55599241138355e-05
EURUSD=X,F1 MA,adamw,1,1.5559926234419473e-05
EURUSD=X,F2 Kalman,adam,0,2.2116616445073314e-05
EURUSD=X,F2 Kalman,adam,1,2.2134600935037485e-05
EURUSD=X,F2 Kalman,adamw,0,2.211192733767894e-05
EURUSD=X,F2 Kalman,adamw,1,2.2129923814531096e-05
EURUSD=X,F4c Causal Median,adam,0,1.3978829619659872e-05
EURUSD=X,F4c Causal Median,adam,1,1.3978829619659872e-05
EURUSD=X,F4c Causal Median,adamw,0,1.397874693602057e-05
EURUSD=X,F4c Causal Median,adamw,1,1.3978748245525305e-05
GBPUSD=X,F0,adam,0,1.7393194635639434e-05
GBPUSD=X,F0,adam,1,1.7393194635639434e-05
GBPUSD=X,F0,adamw,0,1.7393194520779903e-05
GBPUSD=X,F0,adamw,1,1.7393194549102e-05
GBPUSD=X,F1 MA,adam,0,3.616432822885097e-05
GBPUSD=X,F1 MA,adam,1,3.6164328228852695e-05
GBPUSD=X,F1 MA,adamw,0,3.616353170161483e-05
GBPUSD=X,F1 MA,adamw,1,3.616353981059564e-05
GBPUSD=X,F2 Kalman,adam,0,4.0507977471577404e-05
GBPUSD=X,F2 Kalman,adam,1,4.065207721914061e-05
GBPUSD=X,F2 Kalman,adamw,0,4.0499247874440164e-05
GBPUSD=X,F2 Kalman,adamw,1,4.064317268760089e-05
GBPUSD=X,F4c Causal Median,adam,0,3.13683563991486e-05
GBPUSD=X,F4c Causal Median,adam,1,3.1368356399148605e-05
GBPUSD=X,F4c Causal Median,adamw,0,3.13680452960164e-05
GBPUSD=X,F4c Causal Median,adamw,1,3.136804981706248e-05
GBPUSD=X,F0,adam,0,5.955133910997182e-05
GBPUSD=X,F0,adam,1,5.955133910997182e-05
GBPUSD=X,F0,adamw,0,5.955133798338419e-05
GBPUSD=X,F0,adamw,1,5.9551337826535605e-05
GBPUSD=X,F1 MA,adam,0,9.8087897210369e-05
GBPUSD=X,F1 MA,adam,1,9.808789721037235e-05
GBPUSD=X,F1 MA,adamw,0,9.808658449184951e-05
GBPUSD=X,F1 MA,adamw,1,9.808659745350293e-05
GBPUSD=X,F2 Kalman,adam,0,0.00010223055791659936
GBPUSD=X,F2 Kalman,adam,1,0.00010242583641968693
GBPUSD=X,F2 Kalman,adamw,0,0.00010221931075740216
GBPUSD=X,F2 Kalman,adamw,1,0.00010241432667315569
GBPUSD=X,F4c Causal Median,adam,0,8.633577241646345e-05
GBPUSD=X,F4c Causal Median,adam,1,8.633577241646345e-05
GBPUSD=X,F4c Causal Median,adamw,0,8.633520802851864e-05
GBPUSD=X,F4c Causal Median,adamw,1,8.633521607948279e-05
GBPUSD=X,F0,adam,0,1.0539549339267236e-05
GBPUSD=X,F0,adam,1,1.0539549339267236e-05
GBPUSD=X,F0,adamw,0,1.0539549331861177e-05
GBPUSD=X,F0,adamw,1,1.0539549332250283e-05
GBPUSD=X,F1 MA,adam,0,2.0879998733119482e-05
GBPUSD=X,F1 MA,adam,1,2.0879998733119482e-05
GBPUSD=X,F1 MA,adamw,0,2.0879686022690635e-05
GBPUSD=X,F1 MA,adamw,1,2.087968896667431e-05
GBPUSD=X,F2 Kalman,adam,0,2.2986263097748127e-05
GBPUSD=X,F2 Kalman,adam,1,2.2998794776836946e-05
GBPUSD=X,F2 Kalman,adamw,0,2.2983681473168613e-05
GBPUSD=X,F2 Kalman,adamw,1,2.2996211399361017e-05
GBPUSD=X,F4c Causal Median,adam,0,1.621747017916833e-05
GBPUSD=X,F4c Causal Median,adam,1,1.621747017916833e-05
GBPUSD=X,F4c Causal Median,adamw,0,1.6217404364799668e-05
GBPUSD=X,F4c Causal Median,adamw,1,1.621740567099062e-05
GBPUSD=X,F0,adam,0,1.0943505721539202e-05
GBPUSD=X,F0,adam,1,1.0943505721539202e-05
GBPUSD=X,F0,adamw,0,1.0943505662030065e-05
GBPUSD=X,F0,adamw,1,1.0943505664341036e-05
GBPUSD=X,F1 MA,adam,0,1.745427160079342e-05
GBPUSD=X,F1 MA,adam,1,1.745427160079342e-05
GBPUSD=X,F1 MA,adamw,0,1.7454055007097827e-05
GBPUSD=X,F1 MA,adamw,1,1.7454057227956626e-05
GBPUSD=X,F2 Kalman,adam,0,1.975085291054116e-05
GBPUSD=X,F2 Kalman,adam,1,1.9751021495741528e-05
GBPUSD=X,F2 Kalman,adamw,0,1.9749746666896986e-05
GBPUSD=X,F2 Kalman,adamw,1,1.974992582607381e-05
GBPUSD=X,F4c Causal Median,adam,0,1.3579901207619769e-05
GBPUSD=X,F4c Causal Median,adam,1,1.3579901207619769e-05
GBPUSD=X,F4c Causal Median,adamw,0,1.3579864144450199e-05
GBPUSD=X,F4c Causal Median,adamw,1,1.3579865003367958e-05
JPM,F0,adam,0,0.00025988038606064893
JPM,F0,adam,1,0.000259880267679477
JPM,F0,adamw,0,0.00025988038196207816
JPM,F0,adamw,1,0.0002598803458402752
JPM,F1 MA,adam,0,0.00039794836104198544
JPM,F1 MA,adam,1,0.00039794836104198544
JPM,F1 MA,adamw,0,0.0003979459313991931
JPM,F1 MA,adamw,1,0.0003979459625500275
JPM,F2 Kalman,adam,0,0.0004733641742554449
JPM,F2 Kalman,adam,1,0.0004736190176258941
JPM,F2 Kalman,adamw,0,0.00047332514110224087
JPM,F2 Kalman,adamw,1,0.0004735801026865015
JPM,F4c Causal Median,adam,0,0.000392231620134485
JPM,F4c Causal Median,adam,1,0.00039223162013448504
JPM,F4c Causal Median,adamw,0,0.0003922295671613339
JPM,F4c Causal Median,adamw,1,0.0003922296052110034
JPM,F0,adam,0,0.00027924995214949187
JPM,F0,adam,1,0.00027924995214949187
JPM,F0,adamw,0,0.00027924994834291133
JPM,F0,adamw,1,0.000279249947588459
JPM,F1 MA,adam,0,0.0003940868755392541
JPM,F1 MA,adam,1,0.0003940868755392542
JPM,F1 MA,adamw,0,0.00039408463904114227
JPM,F1 MA,adamw,1,0.0003940846678644536
JPM,F2 Kalman,adam,0,0.00042305066966422485
JPM,F2 Kalman,adam,1,0.0004230937273378681
JPM,F2 Kalman,adamw,0,0.00042301722558919135
JPM,F2 Kalman,adamw,1,0.0004230606702386416
JPM,F4c Causal Median,adam,0,0.00035901605528341736
