batch,filter,optimizer,seed,final_grad_norm_sq,holdout_acc
8,F4,adam,3,0.02493823844974922,0.809
8,F7,sgd,0,0.025659332585889413,0.781
8,F7,sgd,1,0.023236687513071223,0.815
8,F7,sgd,2,0.027134223867888958,0.823
8,F7,sgd,3,0.02259085273332396,0.823
8,F7,adam,0,0.029354911286825026,0.775
8,F7,adam,1,0.02592466718882769,0.81
8,F7,adam,2,0.030045399125693543,0.823
8,F7,adam,3,0.028371653249407693,0.815
8,F8,sgd,0,0.025237601122758038,0.783
8,F8,sgd,1,0.02278603722231459,0.816
8,F8,sgd,2,0.026546322209672176,0.823
8,F8,sgd,3,0.022409862710778546,0.823
8,F8,adam,0,0.029268271811709556,0.773
8,F8,adam,1,0.02623924166064551,0.808
8,F8,adam,2,0.0300707064645947,0.824
8,F8,adam,3,0.028410852152847638,0.814
16,F0,sgd,0,0.033155107104868825,0.774
16,F0,sgd,1,0.06947979610608024,0.729
16,F0,sgd,2,0.06531912606879398,0.742
16,F0,sgd,3,0.14409590288407412,0.619
16,F0,adam,0,0.04144582365931962,0.765
16,F0,adam,1,0.050349718634888636,0.754
16,F0,adam,2,0.06378754866471695,0.757
16,F0,adam,3,0.040619222611486074,0.774
16,F4,sgd,0,0.03662696866169677,0.768
16,F4,sgd,1,0.012709832863336563,0.837
16,F4,sgd,2,0.0403017755696312,0.76
16,F4,sgd,3,0.01670927809423689,0.815
16,F4,adam,0,0.04576102553676939,0.762
16,F4,adam,1,0.016958062257939468,0.824
16,F4,adam,2,0.05809597324602439,0.737
16,F4,adam,3,0.025999544495899172,0.812
16,F7,sgd,0,0.03151913690583207,0.783
16,F7,sgd,1,0.014833582882918169,0.834
16,F7,sgd,2,0.037548533601286606,0.76
16,F7,sgd,3,0.01828974022107601,0.818
16,F7,adam,0,0.036347927640750025,0.781
16,F7,adam,1,0.017435951170717306,0.828
16,F7,adam,2,0.05159921718765651,0.746
16,F7,adam,3,0.025925244926585336,0.815
16,F8,sgd,0,0.031081461122356366,0.784
16,F8,sgd,1,0.01494487130957747,0.836
16,F8,sgd,2,0.03771038555100443,0.756
16,F8,sgd,3,0.018592530079015724,0.815
16,F8,adam,0,0.03606333952505681,0.783
16,F8,adam,1,0.017437382828076275,0.828
16,F8,adam,2,0.05198706871780171,0.745
16,F8,adam,3,0.02614062785720134,0.814
32,F0,sgd,0,0.11839964053137488,0.656
