ticker,window,seed,acc,majority
ETH-USD,51,1,0.485,0.52
ETH-USD,51,2,0.49,0.52
EURUSD=X,1,0,0.62,0.62
EURUSD=X,1,1,0.63,0.62
EURUSD=X,1,2,0.625,0.62
EURUSD=X,3,0,0.62,0.62
EURUSD=X,3,1,0.625,0.62
EURUSD=X,3,2,0.625,0.62
EURUSD=X,5,0,0.62,0.62
EURUSD=X,5,1,0.62,0.62
EURUSD=X,5,2,0.62,0.62
EURUSD=X,7,0,0.62,0.62
EURUSD=X,7,1,0.62,0.62
EURUSD=X,7,2,0.62,0.62
EURUSD=X,9,0,0.62,0.62
EURUSD=X,9,1,0.62,0.62
EURUSD=X,9,2,0.62,0.62
EURUSD=X,13,0,0.62,0.62
EURUSD=X,13,1,0.62,0.62
EURUSD=X,13,2,0.62,0.62
EURUSD=X,17,0,0.62,0.62
EURUSD=X,17,1,0.62,0.62
EURUSD=X,17,2,0.62,0.62
EURUSD=X,21,0,0.62,0.62
EURUSD=X,21,1,0.62,0.62
EURUSD=X,21,2,0.62,0.62
EURUSD=X,31,0,0.62,0.62
EURUSD=X,31,1,0.62,0.62
EURUSD=X,31,2,0.62,0.62
EURUSD=X,51,0,0.62,0.62
EURUSD=X,51,1,0.62,0.62
EURUSD=X,51,2,0.62,0.62
EURUSD=X,1,0,0.645,0.64
EURUSD=X,1,1,0.635,0.64
EURUSD=X,1,2,0.65,0.64
EURUSD=X,3,0,0.65,0.64
EURUSD=X,3,1,0.64,0.64
EURUSD=X,3,2,0.64,0.64
EURUSD=X,5,0,0.645,0.64
EURUSD=X,5,1,0.655,0.64
EURUSD=X,5,2,0.665,0.64
EURUSD=X,7,0,0.635,0.64
EURUSD=X,7,1,0.64,0.64
EURUSD=X,7,2,0.635,0.64
EURUSD=X,9,0,0.64,0.64
EURUSD=X,9,1,0.64,0.64
EURUSD=X,9,2,0.635,0.64
EURUSD=X,13,0,0.64,0.64
EURUSD=X,13,1,0.64,0.64
EURUSD=X,13,2,0.64,0.64
EURUSD=X,17,0,0.64,0.64
EURUSD=X,17,1,0.64,0.64
EURUSD=X,17,2,0.64,0.64
EURUSD=X,21,0,0.64,0.64
EURUSD=X,21,1,0.64,0.64
EURUSD=X,21,2,0.64,0.64
EURUSD=X,31,0,0.64,0.64
EURUSD=X,31,1,0.64,0.64
EURUSD=X,31,2,0.64,0.64
EURUSD=X,51,0,0.64,0.64
EURUSD=X,51,1,0.64,0.64
EURUSD=X,51,2,0.64,0.64
EURUSD=X,1,0,0.665,0.665
EURUSD=X,1,1,0.665,0.665
EURUSD=X,1,2,0.665,0.665
EURUSD=X,3,0,0.665,0.665
EURUSD=X,3,1,0.665,0.665
EURUSD=X,3,2,0.665,0.665
EURUSD=X,5,0,0.665,0.665
EURUSD=X,5,1,0.665,0.665
EURUSD=X,5,2,0.665,0.665
EURUSD=X,7,0,0.665,0.665
EURUSD=X,7,1,0.665,0.665
EURUSD=X,7,2,0.665,0.665
EURUSD=X,9,0,0.665,0.665
EURUSD=X,9,1,0.665,0.665
EURUSD=X,9,2,0.665,0.665
EURUSD=X,13,0,0.665,0.665
EURUSD=X,13,1,0.665,0.665
EURUSD=X,13,2,0.665,0.665
EURUSD=X,17,0,0.665,0.665
EURUSD=X,17,1,0.665,0.665
EURUSD=X,17,2,0.665,0.665
EURUSD=X,21,0,0.665,0.665
EURUSD=X,21,1,0.665,0.665
EURUSD=X,21,2,0.665,0.665
EURUSD=X,31,0,0.665,0.665
EURUSD=X,31,1,0.665,0.665
EURUSD=X,31,2,0.665,0.665
EURUSD=X,51,0,0.665,0.665
EURUSD=X,51,1,0.665,0.665
EURUSD=X,51,2,0.665,0.665
EURUSD=X,1,0,0.65,0.65
EURUSD=X,1,1,0.65,0.65
EURUSD=X,1,2,0.645,0.65
EURUSD=X,3,0,0.65,0.65
EURUSD=X,3,1,0.65,0.65
EURUSD=X,3,2,0.645,0.65
EURUSD=X,5,0,0.645,0.65
EURUSD=X,5,1,0.645,0.65
EURUSD=X,5,2,0.645,0.65
EURUSD=X,7,0,0.65,0.65
EURUSD=X,7,1,0.65,0.65
EURUSD=X,7,2,0.65,0.65
EURUSD=X,9,0,0.65,0.65
EURUSD=X,9,1,0.65,0.65
EURUSD=X,9,2,0.65,0.65
EURUSD=X,13,0,0.65,0.65
EURUSD=X,13,1,0.65,0.65
EURUSD=X,13,2,0.65,0.65
EURUSD=X,17,0,0.65,0.65
EURUSD=X,17,1,0.65,0.65
EURUSD=X,17,2,0.65,0.65
EURUSD=X,21,0,0.65,0.65
EURUSD=X,21,1,0.65,0.65
EURUSD=X,21,2,0.65,0.65
EURUSD=X,31,0,0.65,0.65
EURUSD=X,31,1,0.65,0.65
EURUSD=X,31,2,0.65,0.65
EURUSD=X,51,0,0.65,0.65
EURUSD=X,51,1,0.65,0.65
EURUSD=X,51,2,0.65,0.65
GBPUSD=X,1,0,0.595,0.595
GBPUSD=X,1,1,0.6,0.595
GBPUSD=X,1,2,0.595,0.595
GBPUSD=X,3,0,0.6,0.595
GBPUSD=X,3,1,0.6,0.595
GBPUSD=X,3,2,0.6,0.595
GBPUSD=X,5,0,0.59,0.595
GBPUSD=X,5,1,0.59,0.595
GBPUSD=X,5,2,0.59,0.595
GBPUSD=X,7,0,0.595,0.595
GBPUSD=X,7,1,0.595,0.595
GBPUSD=X,7,2,0.595,0.595
GBPUSD=X,9,0,0.595,0.595
GBPUSD=X,9,1,0.595,0.595
GBPUSD=X,9,2,0.595,0.595
GBPUSD=X,13,0,0.595,0.595
GBPUSD=X,13,1,0.595,0.595
GBPUSD=X,13,2,0.595,0.595
GBPUSD=X,17,0,0.595,0.595
GBPUSD=X,17,1,0.595,0.595
GBPUSD=X,17,2,0.595,0.595
GBPUSD=X,21,0,0.595,0.595
GBPUSD=X,21,1,0.595,0.595
GBPUSD=X,21,2,0.595,0.595
GBPUSD=X,31,0,0.595,0.595
GBPUSD=X,31,1,0.595,0.595
GBPUSD=X,31,2,0.595,0.595
GBPUSD=X,51,0,0.595,0.595
GBPUSD=X,51,1,0.595,0.595
GBPUSD=X,51,2,0.595,0.595
GBPUSD=X,1,0,0.665,0.6699999999999999
GBPUSD=X,1,1,0.665,0.6699999999999999
GBPUSD=X,1,2,0.65,0.6699999999999999
GBPUSD=X,3,0,0.68,0.6699999999999999
GBPUSD=X,3,1,0.675,0.6699999999999999
GBPUSD=X,3,2,0.675,0.6699999999999999
GBPUSD=X,5,0,0.67,0.6699999999999999
GBPUSD=X,5,1,0.68,0.6699999999999999
GBPUSD=X,5,2,0.68,0.6699999999999999
GBPUSD=X,7,0,0.67,0.6699999999999999
GBPUSD=X,7,1,0.665,0.6699999999999999
GBPUSD=X,7,2,0.665,0.6699999999999999
GBPUSD=X,9,0,0.67,0.6699999999999999
GBPUSD=X,9,1,0.675,0.6699999999999999
GBPUSD=X,9,2,0.67,0.6699999999999999
GBPUSD=X,13,0,0.67,0.6699999999999999
GBPUSD=X,13,1,0.67,0.6699999999999999
GBPUSD=X,13,2,0.67,0.6699999999999999
GBPUSD=X,17,0,0.67,0.6699999999999999
GBPUSD=X,17,1,0.67,0.6699999999999999
GBPUSD=X,17,2,0.67,0.6699999999999999
GBPUSD=X,21,0,0.67,0.6699999999999999
GBPUSD=X,21,1,0.67,0.6699999999999999
GBPUSD=X,21,2,0.67,0.6699999999999999
GBPUSD=X,31,0,0.67,0.6699999999999999
GBPUSD=X,31,1,0.67,0.6699999999999999
GBPUSD=X,31,2,0.67,0.6699999999999999
GBPUSD=X,51,0,0.67,0.6699999999999999
GBPUSD=X,51,1,0.67,0.6699999999999999
GBPUSD=X,51,2,0.67,0.6699999999999999
GBPUSD=X,1,0,0.61,0.61
GBPUSD=X,1,1,0.61,0.61
GBPUSD=X,1,2,0.61,0.61
GBPUSD=X,3,0,0.61,0.61
GBPUSD=X,3,1,0.61,0.61
GBPUSD=X,3,2,0.61,0.61
GBPUSD=X,5,0,0.61,0.61
GBPUSD=X,5,1,0.61,0.61
GBPUSD=X,5,2,0.61,0.61
GBPUSD=X,7,0,0.61,0.61
GBPUSD=X,7,1,0.61,0.61
GBPUSD=X,7,2,0.61,0.61
GBPUSD=X,9,0,0.61,0.61
GBPUSD=X,9,1,0.61,0.61
GBPUSD=X,9,2,0.61,0.61
GBPUSD=X,13,0,0.61,0.61
GBPUSD=X,13,1,0.61,0.61
GBPUSD=X,13,2,0.61,0.61
GBPUSD=X,17,0,0.61,0.61
GBPUSD=X,17,1,0.61,0.61
GBPUSD=X,17,2,0.61,0.61
GBPUSD=X,21,0,0.61,0.61
GBPUSD=X,21,1,0.61,0.61
GBPUSD=X,21,2,0.61,0.61
GBPUSD=X,31,0,0.61,0.61
GBPUSD=X,31,1,0.61,0.61
GBPUSD=X,31,2,0.61,0.61
GBPUSD=X,51,0,0.61,0.61
GBPUSD=X,51,1,0.61,0.61
GBPUSD=X,51,2,0.61,0.61
GBPUSD=X,1,0,0.645,0.645
GBPUSD=X,1,1,0.645,0.645
GBPUSD=X,1,2,0.645,0.645
GBPUSD=X,3,0,0.645,0.645
GBPUSD=X,3,1,0.645,0.645
GBPUSD=X,3,2,0.645,0.645
GBPUSD=X,5,0,0.65,0.645
GBPUSD=X,5,1,0.645,0.645
GBPUSD=X,5,2,0.65,0.645
GBPUSD=X,7,0,0.645,0.645
GBPUSD=X,7,1,0.64,0.645
GBPUSD=X,7,2,0.64,0.645
GBPUSD=X,9,0,0.645,0.645
GBPUSD=X,9,1,0.645,0.645
GBPUSD=X,9,2,0.645,0.645
GBPUSD=X,13,0,0.645,0.645
GBPUSD=X,13,1,0.645,0.645
GBPUSD=X,13,2,0.645,0.645
GBPUSD=X,17,0,0.645,0.645
GBPUSD=X,17,1,0.645,0.645
GBPUSD=X,17,2,0.645,0.645
GBPUSD=X,21,0,0.645,0.645
GBPUSD=X,21,1,0.645,0.645
GBPUSD=X,21,2,0.645,0.645
GBPUSD=X,31,0,0.645,0.645
GBPUSD=X,31,1,0.645,0.645
GBPUSD=X,31,2,0.645,0.645
GBPUSD=X,51,0,0.645,0.645
GBPUSD=X,51,1,0.645,0.645
GBPUSD=X,51,2,0.645,0.645
JPM,1,0,0.625,0.625
JPM,1,1,0.62,0.625
JPM,1,2,0.62,0.625
JPM,3,0,0.655,0.625
JPM,3,1,0.67,0.625
JPM,3,2,0.655,0.625
JPM,5,0,0.65,0.625
JPM,5,1,0.64,0.625
JPM,5,2,0.66,0.625
JPM,7,0,0.63,0.625
JPM,7,1,0.645,0.625
JPM,7,2,0.64,0.625
JPM,9,0,0.615,0.625
JPM,9,1,0.61,0.625
JPM,9,2,0.615,0.625
JPM,13,0,0.63,0.625
JPM,13,1,0.63,0.625
JPM,13,2,0.63,0.625
JPM,17,0,0.625,0.625
JPM,17,1,0.625,0.625
JPM,17,2,0.625,0.625
JPM,21,0,0.625,0.625
JPM,21,1,0.625,0.625
JPM,21,2,0.625,0.625
JPM,31,0,0.625,0.625
JPM,31,1,0.625,0.625
JPM,31,2,0.625,0.625
JPM,51,0,0.625,0.625
JPM,51,1,0.625,0.625
JPM,51,2,0.625,0.625
JPM,1,0,0.675,0.675
JPM,1,1,0.675,0.675
JPM,1,2,0.675,0.675
JPM,3,0,0.685,0.675
JPM,3,1,0.69,0.675
JPM,3,2,0.705,0.675
JPM,5,0,0.69,0.675
JPM,5,1,0.69,0.675
JPM,5,2,0.695,0.675
JPM,7,0,0.68,0.675
JPM,7,1,0.69,0.675
JPM,7,2,0.69,0.675
JPM,9,0,0.655,0.675
JPM,9,1,0.655,0.675
JPM,9,2,0.67,0.675
JPM,13,0,0.67,0.675
JPM,13,1,0.675,0.675
JPM,13,2,0.675,0.675
JPM,17,0,0.675,0.675
JPM,17,1,0.675,0.675
JPM,17,2,0.675,0.675
JPM,21,0,0.675,0.675
JPM,21,1,0.675,0.675
JPM,21,2,0.675,0.675
JPM,31,0,0.675,0.675
JPM,31,1,0.675,0.675
JPM,31,2,0.675,0.675
JPM,51,0,0.675,0.675
JPM,51,1,0.675,0.675
JPM,51,2,0.675,0.675
JPM,1,0,0.585,0.585
JPM,1,1,0.585,0.585
JPM,1,2,0.585,0.585
JPM,3,0,0.6,0.585
JPM,3,1,0.6,0.585
JPM,3,2,0.6,0.585
JPM,5,0,0.595,0.585
JPM,5,1,0.6,0.585
JPM,5,2,0.605,0.585
JPM,7,0,0.59,0.585
JPM,7,1,0.615,0.585
JPM,7,2,0.615,0.585
JPM,9,0,0.605,0.585
JPM,9,1,0.605,0.585
JPM,9,2,0.61,0.585
JPM,13,0,0.585,0.585
JPM,13,1,0.585,0.585
JPM,13,2,0.585,0.585
JPM,17,0,0.585,0.585
JPM,17,1,0.585,0.585
JPM,17,2,0.585,0.585
JPM,21,0,0.585,0.585
JPM,21,1,0.585,0.585
JPM,21,2,0.585,0.585
JPM,31,0,0.585,0.585
JPM,31,1,0.585,0.585
JPM,31,2,0.585,0.585
JPM,51,0,0.585,0.585
JPM,51,1,0.585,0.585
JPM,51,2,0.585,0.585
JPM,1,0,0.605,0.605
JPM,1,1,0.6,0.605
JPM,1,2,0.605,0.605
JPM,3,0,0.67,0.605
JPM,3,1,0.665,0.605
JPM,3,2,0.66,0.605
JPM,5,0,0.62,0.605
JPM,5,1,0.62,0.605
JPM,5,2,0.625,0.605
JPM,7,0,0.635,0.605
JPM,7,1,0.63,0.605
JPM,7,2,0.635,0.605
JPM,9,0,0.63,0.605
JPM,9,1,0.635,0.605
JPM,9,2,0.64,0.605
JPM,13,0,0.635,0.605
JPM,13,1,0.625,0.605
JPM,13,2,0.625,0.605
JPM,17,0,0.605,0.605
JPM,17,1,0.605,0.605
JPM,17,2,0.605,0.605
JPM,21,0,0.605,0.605
JPM,21,1,0.605,0.605
JPM,21,2,0.605,0.605
JPM,31,0,0.605,0.605
JPM,31,1,0.605,0.605
JPM,31,2,0.605,0.605
JPM,51,0,0.605,0.605
JPM,51,1,0.605,0.605
JPM,51,2,0.605,0.605
MSFT,1,0,0.625,0.615
MSFT,1,1,0.625,0.615
MSFT,1,2,0.625,0.615
