ticker,filter,optimizer,seed,steps,final_grad_norm_sq,final_train_loss,holdout_mse_smoothed,holdout_mse_raw,loglik_raw,snr_filter_db,hurst_raw,hurst_smoothed,alpha_raw,alpha_smoothed,elapsed_s
MSFT,F1,sgd,4,1500,5.530105978465739e-09,3.842258048883014e-05,2.4243132907955405e-05,0.0001285076954166204,2681.522207861133,-7.242222196004232,0.45851108473913077,0.6250464518933776,1.0898425354864638,1.6410619421862394,0.07352300200000172
MSFT,F1,adam,0,1500,2.614639696762153e-40,1.6390589570472386e-05,8.790098696542701e-06,0.00020328003143726953,2480.0026899379013,-7.242222196004232,0.45851108473913077,0.6250464518933776,1.0898425354864638,1.6410619421862394,0.0851684209992527
MSFT,F1,adam,1,1500,3.615219435274754e-40,1.6390589570472386e-05,8.790098696542703e-06,0.00020328003143726953,2480.0026899379013,-7.242222196004232,0.45851108473913077,0.6250464518933776,1.0898425354864638,1.6410619421862394,0.17770619099610485
MSFT,F1,adam,2,1500,2.5285588161887377e-40,1.6390589570472386e-05,8.790098696542701e-06,0.00020328003143726953,2480.0026899379013,-7.242222196004232,0.45851108473913077,0.6250464518933776,1.0898425354864638,1.6410619421862394,0.09011460300098406
MSFT,F1,adam,3,1500,2.6289669790850765e-40,1.6390589570472386e-05,8.790098696542703e-06,0.00020328003143726953,2480.0026899379013,-7.242222196004232,0.45851108473913077,0.6250464518933776,1.0898425354864638,1.6410619421862394,0.18035176699777367
MSFT,F1,adam,4,1500,2.3687330489824695e-40,1.6390589570472386e-05,8.790098696542701e-06,0.00020328003143726955,2480.0026899379013,-7.242222196004232,0.45851108473913077,0.6250464518933776,1.0898425354864638,1.6410619421862394,0.09277325000584824
MSFT,F1,adamw,0,1500,5.464812242343957e-20,1.639058957114768e-05,8.79011224965313e-06,0.00020327894672597205,2480.005028451418,-7.242222196004232,0.45851108473913077,0.6250464518933776,1.0898425354864638,1.6410619421862394,0.18138744099996984
MSFT,F1,adamw,1,1500,5.3118183792582514e-20,1.6390589571126837e-05,8.790112021895485e-06,0.00020327896275672196,2480.0049938885722,-7.242222196004232,0.45851108473913077,0.6250464518933776,1.0898425354864638,1.6410619421862394,0.08816327899694443
MSFT,F1,adamw,2,1500,5.3615308741477126e-20,1.6390589571131835e-05,8.790112111705758e-06,0.0002032789605465682,2480.0049986622994,-7.242222196004232,0.45851108473913077,0.6250464518933776,1.0898425354864638,1.6410619421862394,0.08931112099526217
MSFT,F1,adamw,3,1500,5.645561482006434e-20,1.6390589571168237e-05,8.7901124337811e-06,0.00020327892956585115,2480.0050654453266,-7.242222196004232,0.45851108473913077,0.6250464518933776,1.0898425354864638,1.6410619421862394,0.18540770999970846
MSFT,F1,adamw,4,1500,5.569617201689962e-20,1.6390589571162565e-05,8.790112422365337e-06,0.0002032789358731625,2480.0050518515172,-7.242222196004232,0.45851108473913077,0.6250464518933776,1.0898425354864638,1.6410619421862394,0.17736340999545064
MSFT,F2,sgd,0,1500,2.83622815085964e-11,1.2029400137855103e-06,7.008707250768312e-07,0.00012865920931449614,2681.0025227988262,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.15441153400024632
MSFT,F2,sgd,1,1500,2.7838714940015734e-11,1.1816550448333689e-06,6.886366050428099e-07,0.00012901046212711697,2679.7928624741767,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.1481534679987817
MSFT,F2,sgd,2,1500,2.9338278104622954e-11,1.2411240508315414e-06,7.226170415755888e-07,0.000129276148930778,2678.9279904570067,-25.19825439601917,0.45851108473913077,1.3108430470072736,1.0898425354864638,2.0,0.15774695200525457
