ticker,filter,optimizer,seed,train_size,test_size,train_mse,holdout_mse_raw,holdout_loglik_raw,snr_filter_db,hurst_train_raw,hurst_train_smoothed,alpha_train_raw,alpha_train_smoothed
QQQ,F0,adam,1,1000,200,0.00018685837845439213,0.00014652044645823675,599.498716985051,inf,0.5305666406944348,0.5305666406944348,1.021581561674994,1.021581561674994
QQQ,F0,adam,2,1000,200,0.00018685837845439213,0.00014652044645823675,599.498716985051,inf,0.5305666406944348,0.5305666406944348,1.021581561674994,1.021581561674994
QQQ,F0,adamw,0,1000,200,0.0001868583784543999,0.00014652043697568594,599.4987231382618,inf,0.5305666406944348,0.5305666406944348,1.021581561674994,1.021581561674994
QQQ,F0,adamw,1,1000,200,0.00018685837845440164,0.0001465204360833352,599.498723698241,inf,0.5305666406944348,0.5305666406944348,1.021581561674994,1.021581561674994
QQQ,F0,adamw,2,1000,200,0.0001868583784544029,0.00014652043533354837,599.4987241940523,inf,0.5305666406944348,0.5305666406944348,1.021581561674994,1.021581561674994
QQQ,F1,sgd,0,1000,200,2.888649442438039e-05,0.00014291024836184815,601.8323414491878,-7.322556100827952,0.5305666406944348,0.7596456818473534,1.021581561674994,1.555558978910174
QQQ,F1,sgd,1,1000,200,2.869757134825864e-05,0.00014357320092027928,601.3479648012724,-7.322556100827952,0.5305666406944348,0.7596456818473534,1.021581561674994,1.555558978910174
QQQ,F1,sgd,2,1000,200,2.9067001481028887e-05,0.00014399693274067378,601.0935217804193,-7.322556100827952,0.5305666406944348,0.7596456818473534,1.021581561674994,1.555558978910174
QQQ,F1,adam,0,1000,200,1.1889220967446859e-05,0.00022325775137626346,556.5007138837884,-7.322556100827952,0.5305666406944348,0.7596456818473534,1.021581561674994,1.555558978910174
QQQ,F1,adam,1,1000,200,1.1889220967446859e-05,0.00022325775137626346,556.5007138837884,-7.322556100827952,0.5305666406944348,0.7596456818473534,1.021581561674994,1.555558978910174
QQQ,F1,adam,2,1000,200,1.1889220967446859e-05,0.00022325775137626346,556.5007138837884,-7.322556100827952,0.5305666406944348,0.7596456818473534,1.021581561674994,1.555558978910174
QQQ,F1,adamw,0,1000,200,1.1889220967801529e-05,0.00022325683039805492,556.5011274712651,-7.322556100827952,0.5305666406944348,0.7596456818473534,1.021581561674994,1.555558978910174
QQQ,F1,adamw,1,1000,200,1.1889220967789262e-05,0.00022325684565716386,556.5011206161279,-7.322556100827952,0.5305666406944348,0.7596456818473534,1.021581561674994,1.555558978910174
QQQ,F1,adamw,2,1000,200,1.1889220967791676e-05,0.00022325683919708497,556.501123508629,-7.322556100827952,0.5305666406944348,0.7596456818473534,1.021581561674994,1.555558978910174
