stage1_mcnemar_p,rate_gain,hit_F0,hit_Fk,n_both,speedup_both,t_stat,p_cond,cohen_d,block,model,noise,optimizer,filter
2.177813485104707e-12,0.44999999999999996,0.51,0.96,49,1.709079044148126,10.462679813811103,2.821269484877198e-14,1.4946685448301578,A,logistic,N3,normalized_sgd,F4
1.1333156635373598e-12,0.45999999999999996,0.51,0.97,49,1.7927479876672168,10.368853034888245,3.817361578199549e-14,1.4812647192697492,A,logistic,N3,normalized_sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N3,sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N3,sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N3,sgd,F3
1.5777218104420236e-30,0.99,0.0,0.99,0,,,,,A,logistic,N3,sgd,F4
1.5777218104420236e-30,0.99,0.0,0.99,0,,,,,A,logistic,N3,sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,clipped_sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,clipped_sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,clipped_sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,clipped_sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,clipped_sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,normalized_sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,normalized_sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,normalized_sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,normalized_sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,normalized_sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N4,sgd,F5
1.0,0.0,1.0,1.0,100,1.001177470908503,0.8292291981707363,0.20448482168087478,0.08292291981707363,A,quadratic,N1,clipped_sgd,F1
1.0,0.0,1.0,1.0,100,1.018171963381271,5.5349792926778,1.2773834646965032e-07,0.55349792926778,A,quadratic,N1,clipped_sgd,F2
1.0,0.0,1.0,1.0,100,1.0152558006295145,2.5602109992780155,0.005985985750334661,0.2560210999278016,A,quadratic,N1,clipped_sgd,F3
1.0,0.0,1.0,1.0,100,0.9821842226092053,-4.465225113495283,0.9999893806146914,-0.44652251134952825,A,quadratic,N1,clipped_sgd,F4
1.0,0.0,1.0,1.0,100,1.0015806483630327,0.4101222068196913,0.34130123459922046,0.04101222068196913,A,quadratic,N1,clipped_sgd,F5
1.0,0.0,1.0,1.0,100,1.7630764432157606,32.17587318235196,1.572447036892421e-54,3.2175873182351955,A,quadratic,N1,normalized_sgd,F1
1.0,0.0,1.0,1.0,100,2.217984250546459,81.82960978699394,4.959226852414105e-93,8.182960978699393,A,quadratic,N1,normalized_sgd,F2
1.0,0.0,1.0,1.0,100,2.303940521152676,78.44281179457379,3.05809545696178e-91,7.844281179457379,A,quadratic,N1,normalized_sgd,F3
1.0,0.0,1.0,1.0,100,1.476180289802824,25.58941556983445,9.798639940215909e-46,2.558941556983445,A,quadratic,N1,normalized_sgd,F4
1.0,0.0,1.0,1.0,100,1.802382919867269,39.93321548359312,3.731044547244738e-63,3.993321548359312,A,quadratic,N1,normalized_sgd,F5
1.0,0.0,1.0,1.0,100,1.001177470908503,0.8292291981707363,0.20448482168087478,0.08292291981707363,A,quadratic,N1,sgd,F1
1.0,0.0,1.0,1.0,100,1.018171963381271,5.5349792926778,1.2773834646965032e-07,0.55349792926778,A,quadratic,N1,sgd,F2
1.0,0.0,1.0,1.0,100,1.0152558006295145,2.5602109992780155,0.005985985750334661,0.2560210999278016,A,quadratic,N1,sgd,F3
