train,test,filter,optimizer,seed,test_acc,majority
BTC-USD,EURUSD=X,F7,adam,0,0.5003431708991077,0.6479066575154426
BTC-USD,EURUSD=X,F7,adam,1,0.4735758407687028,0.6479066575154426
BTC-USD,EURUSD=X,F7,adam,2,0.5144131777625257,0.6479066575154426
BTC-USD,EURUSD=X,F8,adam,0,0.5003431708991077,0.6479066575154426
BTC-USD,EURUSD=X,F8,adam,1,0.4735758407687028,0.6479066575154426
BTC-USD,EURUSD=X,F8,adam,2,0.5144131777625257,0.6479066575154426
BTC-USD,EURUSD=X,F9,adam,0,0.49759780370624573,0.6479066575154426
BTC-USD,EURUSD=X,F9,adam,1,0.4951956074124914,0.6479066575154426
BTC-USD,EURUSD=X,F9,adam,2,0.4982841455044612,0.6479066575154426
BTC-USD,GBPUSD=X,F0,adam,0,0.6424159231297186,0.6424159231297186
BTC-USD,GBPUSD=X,F0,adam,1,0.3582704186684969,0.6424159231297186
BTC-USD,GBPUSD=X,F0,adam,2,0.3575840768702814,0.6424159231297186
BTC-USD,GBPUSD=X,F4,adam,0,0.4739190116678106,0.6424159231297186
BTC-USD,GBPUSD=X,F4,adam,1,0.5439258750857927,0.6424159231297186
BTC-USD,GBPUSD=X,F4,adam,2,0.5820178448867536,0.6424159231297186
BTC-USD,GBPUSD=X,F7,adam,0,0.5041180507892931,0.6424159231297186
BTC-USD,GBPUSD=X,F7,adam,1,0.4787234042553192,0.6424159231297186
BTC-USD,GBPUSD=X,F7,adam,2,0.5123541523678792,0.6424159231297186
BTC-USD,GBPUSD=X,F8,adam,0,0.5041180507892931,0.6424159231297186
BTC-USD,GBPUSD=X,F8,adam,1,0.4787234042553192,0.6424159231297186
BTC-USD,GBPUSD=X,F8,adam,2,0.5123541523678792,0.6424159231297186
BTC-USD,GBPUSD=X,F9,adam,0,0.4969114619080302,0.6424159231297186
BTC-USD,GBPUSD=X,F9,adam,1,0.4903912148249828,0.6424159231297186
BTC-USD,GBPUSD=X,F9,adam,2,0.49759780370624573,0.6424159231297186
BTC-USD,JPM,F0,adam,0,0.6382978723404256,0.6376115305422101
BTC-USD,JPM,F0,adam,1,0.37405628002745367,0.6376115305422101
BTC-USD,JPM,F0,adam,2,0.3668496911461908,0.6376115305422101
BTC-USD,JPM,F4,adam,0,0.48112560054907344,0.6376115305422101
BTC-USD,JPM,F4,adam,1,0.5089224433768016,0.6376115305422101
BTC-USD,JPM,F4,adam,2,0.5271105010295127,0.6376115305422101
BTC-USD,JPM,F7,adam,0,0.4869595058339053,0.6376115305422101
BTC-USD,JPM,F7,adam,1,0.48249828414550444,0.6376115305422101
BTC-USD,JPM,F7,adam,2,0.4903912148249828,0.6376115305422101
BTC-USD,JPM,F8,adam,0,0.4869595058339053,0.6376115305422101
BTC-USD,JPM,F8,adam,1,0.48249828414550444,0.6376115305422101
BTC-USD,JPM,F8,adam,2,0.4903912148249828,0.6376115305422101
BTC-USD,JPM,F9,adam,0,0.4917638984214139,0.6376115305422101
BTC-USD,JPM,F9,adam,1,0.4903912148249828,0.6376115305422101
