window,filter,noise,seed,delta_snr_db
5,F4 Median,N3 α-stable,9,13.296240691521511
5,F7 Hybrid (med w),N3 α-stable,9,20.182960831471505
5,F1 MA,N4 Mixed,0,3.8884589505779665
5,F4 Median,N4 Mixed,0,5.988344217574236
5,F7 Hybrid (med w),N4 Mixed,0,8.669253034640885
5,F1 MA,N4 Mixed,1,4.067163304821845
5,F4 Median,N4 Mixed,1,4.740213578104857
5,F7 Hybrid (med w),N4 Mixed,1,8.440868032908849
5,F1 MA,N4 Mixed,2,3.990310721830273
5,F4 Median,N4 Mixed,2,8.596345885491893
5,F7 Hybrid (med w),N4 Mixed,2,9.01565599082642
5,F1 MA,N4 Mixed,3,3.9518051433508603
5,F4 Median,N4 Mixed,3,7.0121707665812885
5,F7 Hybrid (med w),N4 Mixed,3,9.332421007701017
5,F1 MA,N4 Mixed,4,4.09521779271746
5,F4 Median,N4 Mixed,4,7.654213219508044
5,F7 Hybrid (med w),N4 Mixed,4,9.53544546561774
5,F1 MA,N4 Mixed,5,3.9527060290413853
5,F4 Median,N4 Mixed,5,5.342035111254994
5,F7 Hybrid (med w),N4 Mixed,5,8.406577577084217
5,F1 MA,N4 Mixed,6,3.886451145636851
5,F4 Median,N4 Mixed,6,6.086520092919091
5,F7 Hybrid (med w),N4 Mixed,6,8.585322220446002
5,F1 MA,N4 Mixed,7,3.902396834614688
5,F4 Median,N4 Mixed,7,6.130915133052358
5,F7 Hybrid (med w),N4 Mixed,7,8.646808607533833
5,F1 MA,N4 Mixed,8,3.6128386636618437
5,F4 Median,N4 Mixed,8,6.898343456767265
5,F7 Hybrid (med w),N4 Mixed,8,8.129185035885843
5,F1 MA,N4 Mixed,9,4.1605207702243625
5,F4 Median,N4 Mixed,9,5.928887454760574
5,F7 Hybrid (med w),N4 Mixed,9,9.096059091098436
9,F1 MA,N1 Gauss,0,9.222565436453618
9,F4 Median,N1 Gauss,0,7.734999460582158
9,F7 Hybrid (med w),N1 Gauss,0,11.039463061766662
9,F1 MA,N1 Gauss,1,9.590998758681373
9,F4 Median,N1 Gauss,1,7.7320523158551815
9,F7 Hybrid (med w),N1 Gauss,1,11.047463394448021
9,F1 MA,N1 Gauss,2,9.332325951980572
9,F4 Median,N1 Gauss,2,7.753522392479679
9,F7 Hybrid (med w),N1 Gauss,2,11.347241956357474
9,F1 MA,N1 Gauss,3,9.43959664652255
9,F4 Median,N1 Gauss,3,7.47977215050938
9,F7 Hybrid (med w),N1 Gauss,3,11.279450930989743
9,F1 MA,N1 Gauss,4,9.292579680506515
9,F4 Median,N1 Gauss,4,7.756652138260192
9,F7 Hybrid (med w),N1 Gauss,4,10.822460750254091
9,F1 MA,N1 Gauss,5,9.481045065730171
9,F4 Median,N1 Gauss,5,7.693454459685581
9,F7 Hybrid (med w),N1 Gauss,5,11.140049085794317
9,F1 MA,N1 Gauss,6,9.278181558663114
9,F4 Median,N1 Gauss,6,7.9981679324962185
9,F7 Hybrid (med w),N1 Gauss,6,11.479189900692427
9,F1 MA,N1 Gauss,7,9.228854942095552
9,F4 Median,N1 Gauss,7,7.648407716416273
9,F7 Hybrid (med w),N1 Gauss,7,11.31080726475801
9,F1 MA,N1 Gauss,8,9.439864661976369
9,F4 Median,N1 Gauss,8,7.855694740252041
9,F7 Hybrid (med w),N1 Gauss,8,11.273103002942475
9,F1 MA,N1 Gauss,9,10.04714376981789
9,F4 Median,N1 Gauss,9,8.330837932265903
9,F7 Hybrid (med w),N1 Gauss,9,11.97951479985236
9,F1 MA,N3 α-stable,0,9.335843388169815
9,F4 Median,N3 α-stable,0,14.132279230772472
9,F7 Hybrid (med w),N3 α-stable,0,17.46743891137537
9,F1 MA,N3 α-stable,1,9.546369461151107
9,F4 Median,N3 α-stable,1,11.220447033653414
9,F7 Hybrid (med w),N3 α-stable,1,15.06816594865656
9,F1 MA,N3 α-stable,2,9.520846563706947
9,F4 Median,N3 α-stable,2,20.7674932287201
9,F7 Hybrid (med w),N3 α-stable,2,24.20617512641764
9,F1 MA,N3 α-stable,3,9.540851589810707
9,F4 Median,N3 α-stable,3,14.48155462006726
9,F7 Hybrid (med w),N3 α-stable,3,17.83941747306404
9,F1 MA,N3 α-stable,4,9.447101171706041
9,F4 Median,N3 α-stable,4,13.361427594789738
9,F7 Hybrid (med w),N3 α-stable,4,16.638331043892308
9,F1 MA,N3 α-stable,5,9.593282234653124
9,F4 Median,N3 α-stable,5,11.547873744550001
9,F7 Hybrid (med w),N3 α-stable,5,14.97629668250267
9,F1 MA,N3 α-stable,6,9.565977208100156
9,F4 Median,N3 α-stable,6,13.409645965285524
9,F7 Hybrid (med w),N3 α-stable,6,16.817023723130237
9,F1 MA,N3 α-stable,7,9.674824856449384
9,F4 Median,N3 α-stable,7,12.008182694503958
9,F7 Hybrid (med w),N3 α-stable,7,15.669716528543313
9,F1 MA,N3 α-stable,8,9.202862360908842
9,F4 Median,N3 α-stable,8,16.574583563784852
9,F7 Hybrid (med w),N3 α-stable,8,19.833914734651422
9,F1 MA,N3 α-stable,9,9.416307638496882
9,F4 Median,N3 α-stable,9,15.776785727442473
9,F7 Hybrid (med w),N3 α-stable,9,19.43696709313387
9,F1 MA,N4 Mixed,0,5.217031140451439
9,F4 Median,N4 Mixed,0,7.4123785017662005
9,F7 Hybrid (med w),N4 Mixed,0,8.786181476488277
9,F1 MA,N4 Mixed,1,5.5392105785530905
9,F4 Median,N4 Mixed,1,6.4196452207524715
9,F7 Hybrid (med w),N4 Mixed,1,8.273903465085427
9,F1 MA,N4 Mixed,2,5.339351314645718
9,F4 Median,N4 Mixed,2,10.158688658611034
9,F7 Hybrid (med w),N4 Mixed,2,10.438384390072557
9,F1 MA,N4 Mixed,3,5.357320220483427
9,F4 Median,N4 Mixed,3,8.743639410294321
9,F7 Hybrid (med w),N4 Mixed,3,10.046092331760443
9,F1 MA,N4 Mixed,4,5.507228846960668
9,F4 Median,N4 Mixed,4,9.438333665414252
9,F7 Hybrid (med w),N4 Mixed,4,10.778917630788062
9,F1 MA,N4 Mixed,5,5.253272122751808
